,name,x,y,cog,color,link,gene_product
meta,start,0.04535690526848135,,,,,
EQU24_RS00005,dnaA,0,-0.0002227094800991,"Replication, recombination and repair",#1e90ff,,chromosomal replication initiator protein DnaA
EQU24_RS00010,,1502,0.0003361591912908,"Replication, recombination and repair",#1e90ff,,DNA polymerase III subunit beta
EQU24_RS00015,recF,3060,0.0016972387682283,"Replication, recombination and repair",#1e90ff,,DNA replication/repair protein RecF
EQU24_RS00020,gyrB,4185,0.0077497506765485,"Replication, recombination and repair",#1e90ff,,DNA topoisomerase (ATP-hydrolyzing) subunit B
EQU24_RS00025,,6825,0.0118506164439998,No COG annotation,#00bfbf,,hypothetical protein
EQU24_RS00030,,7098,0.0223277532439886,Function unknown,#0000ff,,DUF2283 domain-containing protein
EQU24_RS00035,,7350,0.0017423824480382,No COG annotation,#00bfbf,,hypothetical protein
EQU24_RS00040,,7818,-0.0168572289161948,Cell wall/membrane/envelope biogenesis,#c71585,,TolC family protein
EQU24_RS00045,,9071,-0.0049033967444391,Cell wall/membrane/envelope biogenesis,#c71585,,efflux RND transporter periplasmic adaptor subunit
EQU24_RS00050,,10240,0.0075270811993386,Inorganic ion transport and metabolism,#8b4513,,efflux RND transporter permease subunit
EQU24_RS00055,,13298,0.0235878858067505,Function unknown,#0000ff,,DUF3240 domain-containing protein
EQU24_RS00060,,13842,-0.0134381289555578,Signal transduction mechanisms,#f4a460,,bifunctional diguanylate cyclase/phosphodiesterase
EQU24_RS00065,,17565,0.006205484807532,Function unknown,#0000ff,,DUF839 domain-containing protein
EQU24_RS00070,tatA,19263,-0.0055009168831782,"Intracellular trafficking, secretion, and vesicular transport",#40e0d0,,twin-arginine translocase TatA/TatE family subunit
EQU24_RS00075,tatB,19487,-0.0461248723711417,"Intracellular trafficking, secretion, and vesicular transport",#40e0d0,https://biocyc.org/gene?orgid=GCF_005931095&id=EQU24_RS00075,twin-arginine translocase subunit TatB
EQU24_RS00080,,20389,0.0079390268839824,"Post-translational modification, protein turnover, and chaperones",#add8e6,,hypothetical protein
EQU24_RS00085,,21633,0.005211552515649,Cell wall/membrane/envelope biogenesis,#c71585,,prolipoprotein diacylglyceryl transferase
EQU24_RS00090,thyA,22412,-0.0044606796059545,Nucleotide transport and metabolism,#87ceeb,,thymidylate synthase
EQU24_RS00095,,23251,0.017829953748522,No COG annotation,#00bfbf,,hypothetical protein
EQU24_RS00100,,23841,0.014921328701668,Function unknown,#0000ff,,YchJ family protein
EQU24_RS00105,crp,24340,0.0143913881119857,Transcription,#000000,,cAMP-activated global transcriptional regulator CRP
EQU24_RS00110,,25137,0.0013338228172826,"Post-translational modification, protein turnover, and chaperones",#add8e6,,OsmC family protein
EQU24_RS00115,speD,25560,0.0059183053429148,Amino acid transport and metabolism,#ff0000,,adenosylmethionine decarboxylase
EQU24_RS00125,,29783,0.0008987958853218,Function unknown,#0000ff,,autotransporter outer membrane beta-barrel domain-containing protein
EQU24_RS00130,,32310,-0.0143793613172106,No COG annotation,#00bfbf,,hypothetical protein
EQU24_RS00135,,32679,-0.0308255349680241,Function unknown,#0000ff,,DUF2807 domain-containing protein
EQU24_RS00140,,33495,0.0339900239996257,Cell wall/membrane/envelope biogenesis,#c71585,,OmpA family protein
EQU24_RS00145,,34142,-0.0227746068587735,"Translation, ribosomal structure and biogenesis",#daa520,,hypothetical protein
EQU24_RS00150,,34455,0.0208332770441136,Cell wall/membrane/envelope biogenesis,#c71585,,DUF4384 domain-containing protein
EQU24_RS00155,,36035,0.0116167980108856,No COG annotation,#00bfbf,,hypothetical protein
EQU24_RS00160,,36419,0.0008798039400276,No COG annotation,#00bfbf,,hypothetical protein
EQU24_RS00165,,36832,-0.0205150780810211,No COG annotation,#00bfbf,,hypothetical protein
EQU24_RS00170,,38627,-0.0009164039513774,Function unknown,#0000ff,,caspase family protein
EQU24_RS00175,,39992,-0.0062527595599281,"Replication, recombination and repair",#1e90ff,,hypothetical protein
EQU24_RS00180,,40588,0.0441952437760853,"Replication, recombination and repair",#1e90ff,,ISAzo13 family transposase
EQU24_RS00185,,42145,-0.0064247288089192,"Replication, recombination and repair",#1e90ff,,hypothetical protein
EQU24_RS00190,,42656,-0.0078942455965221,No COG annotation,#00bfbf,,hypothetical protein
EQU24_RS00195,,42874,-0.0238054786189611,"Replication, recombination and repair",#1e90ff,,DUF4338 domain-containing protein
EQU24_RS00200,,44158,-0.0157910126774393,No COG annotation,#00bfbf,,hypothetical protein
EQU24_RS00205,,44526,0.0058251473088792,"Replication, recombination and repair",#1e90ff,,IS66 family transposase
EQU24_RS00210,,46105,0.0064881849655325,No COG annotation,#00bfbf,,DUF3800 domain-containing protein
EQU24_RS00215,,47306,0.0078978618345381,Cell motility,#da70d6,,type II toxin-antitoxin system HicB family antitoxin
EQU24_RS00220,,47518,0.0125063402590871,Cell motility,#da70d6,,type II toxin-antitoxin system HicA family toxin
EQU24_RS00225,,48209,-0.0007216017148686,Carbohydrate transport and metabolism,#ffc0cb,,HAD family hydrolase
EQU24_RS00230,,48728,0.0027542005258854,No COG annotation,#00bfbf,,hypothetical protein
EQU24_RS00235,,48952,-0.0014686642661073,No COG annotation,#00bfbf,,type II toxin-antitoxin system RelE/ParE family toxin
EQU24_RS00240,,49350,-0.0070360480647391,No COG annotation,#00bfbf,,hypothetical protein
EQU24_RS00245,,49501,-0.0089410926282643,Inorganic ion transport and metabolism,#8b4513,,cation transporter
EQU24_RS00250,,50778,-0.0837786421797852,No COG annotation,#00bfbf,https://biocyc.org/gene?orgid=GCF_005931095&id=EQU24_RS00250,hypothetical protein
EQU24_RS00255,,51191,0.0191335089996872,No COG annotation,#00bfbf,,hypothetical protein
EQU24_RS00260,,51603,-0.0116687415903964,No COG annotation,#00bfbf,,hypothetical protein
EQU24_RS00265,,52448,0.0031068827829761,Cell wall/membrane/envelope biogenesis,#c71585,,glucosidase
EQU24_RS00270,,55437,0.0090758551383563,Signal transduction mechanisms,#f4a460,,Crp/Fnr family transcriptional regulator
EQU24_RS00275,,57142,0.0033854574327368,No COG annotation,#00bfbf,,hypothetical protein
EQU24_RS00280,,57870,-0.0124062689458609,Signal transduction mechanisms,#f4a460,,adenylate/guanylate cyclase domain-containing protein
EQU24_RS00285,,60055,-0.009823005606114,Transcription,#000000,,protein kinase
EQU24_RS00290,,61695,-0.0080737684247433,No COG annotation,#00bfbf,,hypothetical protein
EQU24_RS00295,,62264,-0.0229076604054177,No COG annotation,#00bfbf,,hypothetical protein
EQU24_RS00300,,62674,-0.004904119533998,Transcription,#000000,,AAA family ATPase
EQU24_RS00305,,67787,0.0044171049408033,Signal transduction mechanisms,#f4a460,,response regulator
EQU24_RS00310,,68188,0.0066583439268337,Signal transduction mechanisms,#f4a460,,GGDEF domain-containing response regulator
EQU24_RS00315,,70371,-0.000837855125316,Function unknown,#0000ff,,CPBP family intramembrane metalloprotease
EQU24_RS00320,,71048,-0.0045212899032872,Function unknown,#0000ff,,YcgL domain-containing protein
EQU24_RS00330,,71976,0.0053728545381708,Function unknown,#0000ff,,flippase
EQU24_RS00335,,73303,0.0021678622391823,No COG annotation,#00bfbf,,hypothetical protein
EQU24_RS00340,,74273,0.0014599821996078,No COG annotation,#00bfbf,,hypothetical protein
EQU24_RS00345,,75073,0.0139294955357232,Function unknown,#0000ff,,hypothetical protein
EQU24_RS00350,,76033,-0.0068301933098148,Function unknown,#0000ff,,methyltransferase domain-containing protein
EQU24_RS00355,,76863,0.0029583058728782,Cell wall/membrane/envelope biogenesis,#c71585,,glycosyltransferase
EQU24_RS00360,,78206,0.0058175922765645,Cell wall/membrane/envelope biogenesis,#c71585,,glycosyltransferase
EQU24_RS00365,,78936,0.0115095275078132,Function unknown,#0000ff,,glycosyltransferase family 2 protein
EQU24_RS00370,,80036,-0.0129583997812873,No COG annotation,#00bfbf,,hypothetical protein
EQU24_RS00375,,80273,-0.0049506097172652,Cell wall/membrane/envelope biogenesis,#c71585,,glycosyltransferase
EQU24_RS00380,,81343,-0.0041317566356001,Cell wall/membrane/envelope biogenesis,#c71585,,SDR family oxidoreductase
EQU24_RS00385,,82311,-0.0091492275803449,No COG annotation,#00bfbf,,hypothetical protein
EQU24_RS00390,,82907,-0.0043696598020974,Cell wall/membrane/envelope biogenesis,#c71585,,glycosyltransferase family 4 protein
EQU24_RS00395,,83997,-0.0050803270730954,Function unknown,#0000ff,,ATP-binding protein
EQU24_RS00400,,85681,-0.0072821564180889,Carbohydrate transport and metabolism,#ffc0cb,,polysaccharide biosynthesis protein
EQU24_RS00405,,88239,0.002004539110448,Transcription,#000000,,LysR family transcriptional regulator
EQU24_RS00410,,89041,-0.0004845750512533,Coenzyme transport and metabolism,#d3d3d3,,methyltransferase domain-containing protein
EQU24_RS00415,,89828,0.0031892360811654,Inorganic ion transport and metabolism,#8b4513,,rhodanese-like domain-containing protein
EQU24_RS00420,typA,90322,0.0022055346019969,Signal transduction mechanisms,#f4a460,,translational GTPase TypA
EQU24_RS00425,hisB,92433,-0.0056291548338298,Amino acid transport and metabolism,#ff0000,,imidazoleglycerol-phosphate dehydratase HisB
EQU24_RS00430,hisH,93040,-0.0047640228534486,Amino acid transport and metabolism,#ff0000,,imidazole glycerol phosphate synthase subunit HisH
EQU24_RS00435,hisA,93739,-0.012994671552096,Amino acid transport and metabolism,#ff0000,,1-(5-phosphoribosyl)-5-[(5- phosphoribosylamino)methylideneamino]imidazole-4- carboxamide isomerase
EQU24_RS00440,hisF,94480,-0.0022361763097413,Amino acid transport and metabolism,#ff0000,,imidazole glycerol phosphate synthase subunit HisF
EQU24_RS00445,hisI,95253,-0.0106613909769052,Amino acid transport and metabolism,#ff0000,,phosphoribosyl-AMP cyclohydrolase
EQU24_RS00450,,95639,-0.0049396693397653,Amino acid transport and metabolism,#ff0000,,phosphoribosyl-ATP diphosphatase
EQU24_RS00455,tatA,96158,-0.0134369994142983,"Intracellular trafficking, secretion, and vesicular transport",#40e0d0,,twin-arginine translocase TatA/TatE family subunit
EQU24_RS00460,tatB,96374,0.000342904633579,"Intracellular trafficking, secretion, and vesicular transport",#40e0d0,,twin-arginine translocase subunit TatB
EQU24_RS00465,tatC,96685,-0.0128509374971196,"Intracellular trafficking, secretion, and vesicular transport",#40e0d0,,twin-arginine translocase subunit TatC
EQU24_RS00470,,97499,0.0072374117972738,Amino acid transport and metabolism,#ff0000,,GDSL family lipase
EQU24_RS00475,,98135,0.0049468200431513,Lipid transport and metabolism,#87cefa,,pteridine reductase
EQU24_RS00480,,98898,-0.0037184944351257,Signal transduction mechanisms,#f4a460,,hypothetical protein
EQU24_RS00485,folK,101212,0.0181413083897108,Coenzyme transport and metabolism,#d3d3d3,,2-amino-4-hydroxy-6- hydroxymethyldihydropteridine diphosphokinase
EQU24_RS00490,folB,101731,0.0057159883717179,Coenzyme transport and metabolism,#d3d3d3,,dihydroneopterin aldolase
EQU24_RS00495,plsY,102224,-0.0003985726065056,Lipid transport and metabolism,#87cefa,,glycerol-3-phosphate 1-O-acyltransferase PlsY
EQU24_RS00500,tsaD,102961,-0.0048160026856065,"Translation, ribosomal structure and biogenesis",#daa520,,tRNA (adenosine(37)-N6)-threonylcarbamoyltransferase complex transferase subunit TsaD
EQU24_RS00505,rpsU,104077,-0.0023128480950071,"Translation, ribosomal structure and biogenesis",#daa520,,30S ribosomal protein S21
EQU24_RS00510,,104333,-0.001307282453001,Function unknown,#0000ff,,GatB/YqeY domain-containing protein
EQU24_RS00515,,104824,-0.001741936309281,"Replication, recombination and repair",#1e90ff,,DNA primase
EQU24_RS00520,rpoD,106636,-0.0047331791702978,Transcription,#000000,,RNA polymerase sigma factor RpoD
EQU24_RS00525,,108456,0.0057845790778431,No COG annotation,#00bfbf,,
EQU24_RS00530,,108596,0.0012669338601339,Coenzyme transport and metabolism,#d3d3d3,,methionine adenosyltransferase
EQU24_RS00535,,109776,0.0017057682720787,Coenzyme transport and metabolism,#d3d3d3,,adenosylhomocysteinase
EQU24_RS00540,metF,111129,0.0071100110776572,Amino acid transport and metabolism,#ff0000,,methylenetetrahydrofolate reductase [NAD(P)H]
EQU24_RS00545,,112072,-0.0004385490074756,"Translation, ribosomal structure and biogenesis",#daa520,,16S rRNA (uracil(1498)-N(3))-methyltransferase
EQU24_RS00550,,112812,-0.0021170517397283,Function unknown,#0000ff,,CPBP family intramembrane metalloprotease
EQU24_RS00555,,113932,-0.0026909091255042,Function unknown,#0000ff,,YajQ family cyclic di-GMP-binding protein
EQU24_RS00560,,114465,-0.0058068827148642,"Translation, ribosomal structure and biogenesis",#daa520,,multifunctional CCA addition/repair protein
EQU24_RS00565,,115829,0.0025382291154427,Function unknown,#0000ff,,TSUP family transporter
EQU24_RS00570,guaB,116713,-0.0115684968513452,Nucleotide transport and metabolism,#87ceeb,,IMP dehydrogenase
EQU24_RS00575,guaA,118260,-0.0055131425741606,Nucleotide transport and metabolism,#87ceeb,,glutamine-hydrolyzing GMP synthase
EQU24_RS00580,tadA,119840,-0.0247678154053078,Nucleotide transport and metabolism,#87ceeb,,tRNA adenosine(34) deaminase TadA
EQU24_RS00585,,120316,0.0027993799976311,Carbohydrate transport and metabolism,#ffc0cb,,glucose-6-phosphate isomerase
EQU24_RS00590,,122491,-0.004193333017287,No COG annotation,#00bfbf,,hypothetical protein
EQU24_RS00595,,123576,-0.0043368248008076,Energy production and conversion,#708090,,multicopper oxidase
EQU24_RS00600,,124502,-0.0129171228875085,Function unknown,#0000ff,,DedA family protein
EQU24_RS00605,,124981,-0.0052059919611278,No COG annotation,#00bfbf,,hypothetical protein
