locus,gene_weight,gene_name,gene_product,cog,operon,specific_gos_n,link
EQU24_RS20610,0.1973532395674615,,ISAs1 family transposase,"Replication, recombination and repair",212,"DNA binding
transposase activity
transposition, DNA-mediated",https://biocyc.org/gene?orgid=GCF_005931095&id=EQU24_RS20610
EQU24_RS09155,0.1362807506238282,,hypothetical protein,No COG annotation,1672,,https://biocyc.org/gene?orgid=GCF_005931095&id=EQU24_RS09155
EQU24_RS08490,0.1100744253973122,,hypothetical protein,No COG annotation,1759,"integral component of membrane
membrane",https://biocyc.org/gene?orgid=GCF_005931095&id=EQU24_RS08490
EQU24_RS12125,0.1072996280914461,cas2,CRISPR-associated endonuclease Cas2,"Replication, recombination and repair",1307,"RNA phosphodiester bond hydrolysis, endonucleolytic
maintenance of CRISPR repeat elements
endoribonuclease activity
defense response to virus
metal ion binding",https://biocyc.org/gene?orgid=GCF_005931095&id=EQU24_RS12125
EQU24_RS17235,0.0994005708639333,,RnfH family protein,Function unknown,647,"electron transport chain
generation of precursor metabolites and energy
electron transfer activity
oxidoreductase activity
cellular metabolic process",https://biocyc.org/gene?orgid=GCF_005931095&id=EQU24_RS17235
EQU24_RS17325,0.0932243980928116,,hypothetical protein,Function unknown,638,,https://biocyc.org/gene?orgid=GCF_005931095&id=EQU24_RS17325
EQU24_RS20565,0.0912641749776977,,hypothetical protein,No COG annotation,220,,https://biocyc.org/gene?orgid=GCF_005931095&id=EQU24_RS20565
EQU24_RS16380,0.0908681675602359,,hypothetical protein,No COG annotation,753,,https://biocyc.org/gene?orgid=GCF_005931095&id=EQU24_RS16380
EQU24_RS17225,0.0842403475445015,,ferredoxin,Energy production and conversion,649,,https://biocyc.org/gene?orgid=GCF_005931095&id=EQU24_RS17225
EQU24_RS17260,0.0789036119845262,,RnfABCDGE type electron transport complex subunit B,Energy production and conversion,644,"4 iron, 4 sulfur cluster binding
electron transport chain
metal ion binding
plasma membrane
electron transfer activity",https://biocyc.org/gene?orgid=GCF_005931095&id=EQU24_RS17260
EQU24_RS08855,0.078211166462172,,hypothetical protein,Function unknown,1709,,https://biocyc.org/gene?orgid=GCF_005931095&id=EQU24_RS08855
EQU24_RS04605,0.0764029002045044,,hypothetical protein,No COG annotation,2255,"integral component of membrane
membrane",https://biocyc.org/gene?orgid=GCF_005931095&id=EQU24_RS04605
EQU24_RS05305,0.0691218164979326,,bifunctional adenosylcobinamide kinase/adenosylcobinamide-phosphate guanylyltransferase,Coenzyme transport and metabolism,2166,"cobalamin biosynthetic process
cobinamide phosphate guanylyltransferase activity
phosphorylation
GTP binding
ATP binding",https://biocyc.org/gene?orgid=GCF_005931095&id=EQU24_RS05305
EQU24_RS08460,0.067212915318534,urtC,urea ABC transporter permease subunit UrtC,Amino acid transport and metabolism,1762,"plasma membrane
integral component of membrane
transmembrane transporter activity
transmembrane transport",https://biocyc.org/gene?orgid=GCF_005931095&id=EQU24_RS08460
EQU24_RS06145,0.0658926704504245,,hypothetical protein,No COG annotation,2059,,https://biocyc.org/gene?orgid=GCF_005931095&id=EQU24_RS06145
EQU24_RS12185,0.0629109720308351,,transposase,"Replication, recombination and repair",1301,"DNA binding
transposase activity
transposition, DNA-mediated",https://biocyc.org/gene?orgid=GCF_005931095&id=EQU24_RS12185
EQU24_RS17210,0.0627868733056538,,2Fe-2S iron-sulfur cluster binding domain-containing protein,Energy production and conversion,651,"chlorosome
electron transport chain
intracellular non-membrane-bounded organelle
2 iron, 2 sulfur cluster binding
non-membrane-bounded organelle",https://biocyc.org/gene?orgid=GCF_005931095&id=EQU24_RS17210
EQU24_RS12180,0.0597801450635629,csm2,type III-A CRISPR-associated protein Csm2,"Replication, recombination and repair",1302,,https://biocyc.org/gene?orgid=GCF_005931095&id=EQU24_RS12180
EQU24_RS01055,0.059053112141736,,Tn3 family transposase,"Replication, recombination and repair",2683,"transposase activity
transposition, DNA-mediated",https://biocyc.org/gene?orgid=GCF_005931095&id=EQU24_RS01055
EQU24_RS14555,0.0569018328464753,,CsbD family protein,No COG annotation,1000,,https://biocyc.org/gene?orgid=GCF_005931095&id=EQU24_RS14555
EQU24_RS14480,0.0562256946354192,,DUF3096 domain-containing protein,Function unknown,1014,integral component of membrane,https://biocyc.org/gene?orgid=GCF_005931095&id=EQU24_RS14480
EQU24_RS13485,0.0558967322118179,,hypothetical protein,No COG annotation,1142,"integral component of membrane
membrane",https://biocyc.org/gene?orgid=GCF_005931095&id=EQU24_RS13485
EQU24_RS08840,0.0545491958514501,,transposase,No COG annotation,1711,"DNA binding
transposase activity
transposition, DNA-mediated
integral component of membrane",https://biocyc.org/gene?orgid=GCF_005931095&id=EQU24_RS08840
EQU24_RS19095,0.05410549984242,,hypothetical protein,No COG annotation,415,integral component of membrane,https://biocyc.org/gene?orgid=GCF_005931095&id=EQU24_RS19095
EQU24_RS13620,0.0540408587808854,,hypothetical protein,No COG annotation,1124,integral component of membrane,https://biocyc.org/gene?orgid=GCF_005931095&id=EQU24_RS13620
EQU24_RS20900,0.0533177082754268,,hypothetical protein,No COG annotation,167,,https://biocyc.org/gene?orgid=GCF_005931095&id=EQU24_RS20900
EQU24_RS14760,0.0529755011937944,,BON domain-containing protein,Function unknown,965,,https://biocyc.org/gene?orgid=GCF_005931095&id=EQU24_RS14760
EQU24_RS20765,0.0526830679192786,,phosphatase PAP2 family protein,Lipid transport and metabolism,191,integral component of membrane,https://biocyc.org/gene?orgid=GCF_005931095&id=EQU24_RS20765
EQU24_RS17305,0.0511266325146859,,4Fe-4S dicluster domain-containing protein,Energy production and conversion,639,iron-sulfur cluster binding,https://biocyc.org/gene?orgid=GCF_005931095&id=EQU24_RS17305
EQU24_RS10490,0.0496313522354293,,hypothetical protein,No COG annotation,1507,,https://biocyc.org/gene?orgid=GCF_005931095&id=EQU24_RS10490
EQU24_RS08150,0.047117224961871,,hypothetical protein,No COG annotation,1803,"regulation of transcription, DNA-templated",https://biocyc.org/gene?orgid=GCF_005931095&id=EQU24_RS08150
EQU24_RS04380,0.0467901125411863,,type II toxin-antitoxin system VapC family toxin,Function unknown,2280,"nucleic acid phosphodiester bond hydrolysis
metal ion binding
nuclease activity",https://biocyc.org/gene?orgid=GCF_005931095&id=EQU24_RS04380
EQU24_RS01030,-0.0459071777885249,,hypothetical protein,No COG annotation,2687,,https://biocyc.org/gene?orgid=GCF_005931095&id=EQU24_RS01030
EQU24_RS13040,-0.046021012246602,,hypothetical protein,No COG annotation,1196,,https://biocyc.org/gene?orgid=GCF_005931095&id=EQU24_RS13040
EQU24_RS00075,-0.0461248723711417,tatB,twin-arginine translocase subunit TatB,"Intracellular trafficking, secretion, and vesicular transport",2822,"peptide transport
amide transport
organic substance transport
nitrogen compound transport
protein transport by the Tat complex",https://biocyc.org/gene?orgid=GCF_005931095&id=EQU24_RS00075
EQU24_RS17510,-0.0470681864894418,,,No COG annotation,612,,https://biocyc.org/gene?orgid=GCF_005931095&id=EQU24_RS17510
EQU24_RS04370,-0.0504945152934488,,ATP-binding cassette domain-containing protein,Carbohydrate transport and metabolism,2281,"ATP hydrolysis activity
ATP binding",https://biocyc.org/gene?orgid=GCF_005931095&id=EQU24_RS04370
EQU24_RS19435,-0.0511514850536355,,hypothetical protein,No COG annotation,368,,https://biocyc.org/gene?orgid=GCF_005931095&id=EQU24_RS19435
EQU24_RS17375,-0.0514677017654094,,BrnT family toxin,Function unknown,631,,https://biocyc.org/gene?orgid=GCF_005931095&id=EQU24_RS17375
EQU24_RS08715,-0.0519608477261197,,hypothetical protein,No COG annotation,1728,isomerase activity,https://biocyc.org/gene?orgid=GCF_005931095&id=EQU24_RS08715
EQU24_RS17090,-0.0520689343732601,,hypothetical protein,No COG annotation,664,,https://biocyc.org/gene?orgid=GCF_005931095&id=EQU24_RS17090
EQU24_RS13855,-0.0521919929480747,,hypothetical protein,No COG annotation,1095,membrane,https://biocyc.org/gene?orgid=GCF_005931095&id=EQU24_RS13855
EQU24_RS08030,-0.0532702142145488,,IS4 family transposase,"Replication, recombination and repair",1821,"DNA binding
transposase activity
transposition, DNA-mediated
integral component of membrane",https://biocyc.org/gene?orgid=GCF_005931095&id=EQU24_RS08030
EQU24_RS14930,-0.0537856206591836,,hypothetical protein,No COG annotation,947,integral component of membrane,https://biocyc.org/gene?orgid=GCF_005931095&id=EQU24_RS14930
EQU24_RS08980,-0.053892128057294,,hypothetical protein,No COG annotation,1693,integral component of membrane,https://biocyc.org/gene?orgid=GCF_005931095&id=EQU24_RS08980
