locus,gene_weight,gene_name,gene_product,cog,operon,specific_gos_n,link
EQU24_RS20650,0.1279042895673821,,,No COG annotation,207,,https://biocyc.org/gene?orgid=GCF_005931095&id=EQU24_RS20650
EQU24_RS12805,0.1251373807022476,,IS4 family transposase,"Replication, recombination and repair",1225,"DNA binding
transposase activity
transposition, DNA-mediated
integral component of membrane",https://biocyc.org/gene?orgid=GCF_005931095&id=EQU24_RS12805
EQU24_RS11170,0.1167887916062872,,hypothetical protein,No COG annotation,1430,"ornithine cyclodeaminase activity
lyase activity",https://biocyc.org/gene?orgid=GCF_005931095&id=EQU24_RS11170
EQU24_RS04160,0.1082365828446981,,,No COG annotation,2308,,https://biocyc.org/gene?orgid=GCF_005931095&id=EQU24_RS04160
EQU24_RS17185,0.1078650044580621,,IS66 family transposase,"Replication, recombination and repair",653,,https://biocyc.org/gene?orgid=GCF_005931095&id=EQU24_RS17185
EQU24_RS14940,0.1021074154932211,,hypothetical protein,Function unknown,946,,https://biocyc.org/gene?orgid=GCF_005931095&id=EQU24_RS14940
EQU24_RS18860,0.1004108978556453,,,No COG annotation,445,,https://biocyc.org/gene?orgid=GCF_005931095&id=EQU24_RS18860
EQU24_RS05075,0.0903358142841107,,hypothetical protein,No COG annotation,2192,,https://biocyc.org/gene?orgid=GCF_005931095&id=EQU24_RS05075
EQU24_RS00175,0.0864481208852633,,hypothetical protein,"Replication, recombination and repair",2808,"DNA binding
transposase activity
transposition, DNA-mediated
membrane",https://biocyc.org/gene?orgid=GCF_005931095&id=EQU24_RS00175
EQU24_RS06200,0.0835247341993886,,transposase,"Replication, recombination and repair",2051,"DNA binding
transposase activity
transposition, DNA-mediated",https://biocyc.org/gene?orgid=GCF_005931095&id=EQU24_RS06200
EQU24_RS14935,0.0794640417714727,urtA,urea ABC transporter substrate-binding protein,Amino acid transport and metabolism,946,,https://biocyc.org/gene?orgid=GCF_005931095&id=EQU24_RS14935
EQU24_RS02055,0.0752232727483323,,TonB-dependent receptor,Inorganic ion transport and metabolism,2549,"cell outer membrane
integral component of membrane",https://biocyc.org/gene?orgid=GCF_005931095&id=EQU24_RS02055
