locus,gene_weight,gene_name,gene_product,cog,operon,specific_gos_n,link
EQU24_RS17070,0.1778859607675013,nifD,nitrogenase molybdenum-iron protein alpha chain,Energy production and conversion,666,"nitrogenase activity
carbonyl sulfide nitrogenase activity
nitrogen fixation
metal ion binding
molybdenum-iron nitrogenase complex",https://biocyc.org/gene?orgid=GCF_005931095&id=EQU24_RS17070
EQU24_RS17065,0.1760780209428464,nifH,nitrogenase iron protein,Inorganic ion transport and metabolism,667,"nitrogenase activity
carbonyl sulfide nitrogenase activity
ATP binding
4 iron, 4 sulfur cluster binding
nitrogen fixation",https://biocyc.org/gene?orgid=GCF_005931095&id=EQU24_RS17065
EQU24_RS17075,0.1714818991504109,nifK,nitrogenase molybdenum-iron protein subunit beta,Nucleotide transport and metabolism,665,"nitrogenase activity
carbonyl sulfide nitrogenase activity
ATP binding
metal ion binding
nitrogen fixation",https://biocyc.org/gene?orgid=GCF_005931095&id=EQU24_RS17075
EQU24_RS17085,0.1700059372705042,,4Fe-4S dicluster domain-containing protein,Energy production and conversion,664,,https://biocyc.org/gene?orgid=GCF_005931095&id=EQU24_RS17085
EQU24_RS17230,0.1582084667668849,nifB,nitrogenase cofactor biosynthesis protein NifB,Energy production and conversion,648,"metal ion binding
4 iron, 4 sulfur cluster binding
catalytic activity
",https://biocyc.org/gene?orgid=GCF_005931095&id=EQU24_RS17230
EQU24_RS17205,0.1573914945645467,,2Fe-2S iron-sulfur cluster binding domain-containing protein,Energy production and conversion,651,"chlorosome
electron transport chain
intracellular non-membrane-bounded organelle
2 iron, 2 sulfur cluster binding
non-membrane-bounded organelle",https://biocyc.org/gene?orgid=GCF_005931095&id=EQU24_RS17205
EQU24_RS17080,0.1573752923471996,nifT,putative nitrogen fixation protein NifT,"Secondary metabolites biosynthesis, transport, and catabolism",664,nitrogen fixation,https://biocyc.org/gene?orgid=GCF_005931095&id=EQU24_RS17080
EQU24_RS17090,0.1497297025484523,,hypothetical protein,No COG annotation,664,,https://biocyc.org/gene?orgid=GCF_005931095&id=EQU24_RS17090
EQU24_RS17200,0.148392468156192,,nitrogen fixation protein NifQ,Function unknown,651,"molybdenum ion binding
nitrogen fixation",https://biocyc.org/gene?orgid=GCF_005931095&id=EQU24_RS17200
EQU24_RS17340,0.147339627141745,cysE,serine O-acetyltransferase,Amino acid transport and metabolism,637,"serine O-acetyltransferase activity
cysteine biosynthetic process from serine
serine family amino acid biosynthetic process
O-acetyltransferase activity
cysteine biosynthetic process",https://biocyc.org/gene?orgid=GCF_005931095&id=EQU24_RS17340
EQU24_RS17215,0.1447193913322467,,FprA family A-type flavoprotein,Energy production and conversion,650,"iron ion binding
transition metal ion binding
nitric oxide reductase activity
metal ion binding
FMN binding",https://biocyc.org/gene?orgid=GCF_005931095&id=EQU24_RS17215
EQU24_RS17325,0.1435090097461257,,hypothetical protein,Function unknown,638,,https://biocyc.org/gene?orgid=GCF_005931095&id=EQU24_RS17325
EQU24_RS17210,0.1434863667669504,,2Fe-2S iron-sulfur cluster binding domain-containing protein,Energy production and conversion,651,"chlorosome
electron transport chain
intracellular non-membrane-bounded organelle
2 iron, 2 sulfur cluster binding
non-membrane-bounded organelle",https://biocyc.org/gene?orgid=GCF_005931095&id=EQU24_RS17210
EQU24_RS17255,0.1427489047856552,rsxC,electron transport complex subunit RsxC,Energy production and conversion,644,"4 iron, 4 sulfur cluster binding
electron transport chain
metal ion binding
plasma membrane
electron transfer activity",https://biocyc.org/gene?orgid=GCF_005931095&id=EQU24_RS17255
EQU24_RS17160,0.1419400348271939,,nitrogen fixation protein NifX,Function unknown,657,"nitrogen fixation
metal cluster binding
",https://biocyc.org/gene?orgid=GCF_005931095&id=EQU24_RS17160
EQU24_RS17145,0.140778298417526,fdxB,"ferredoxin III, nif-specific",Energy production and conversion,658,iron-sulfur cluster binding,https://biocyc.org/gene?orgid=GCF_005931095&id=EQU24_RS17145
