locus,gene_weight,gene_name,gene_product,cog,operon,specific_gos_n,link
EQU24_RS01150,0.208770711585585,,hypothetical protein,No COG annotation,2671,,https://biocyc.org/gene?orgid=GCF_005931095&id=EQU24_RS01150
EQU24_RS19125,0.1253645317439485,rplU,50S ribosomal protein L21,"Translation, ribosomal structure and biogenesis",411,"cytosolic ribosome
translation
peptide biosynthetic process
cytosolic large ribosomal subunit
ribosome",https://biocyc.org/gene?orgid=GCF_005931095&id=EQU24_RS19125
EQU24_RS02170,0.1239300778984623,,LapA family protein,Function unknown,2530,integral component of plasma membrane,https://biocyc.org/gene?orgid=GCF_005931095&id=EQU24_RS02170
EQU24_RS20900,0.1203905304731704,,hypothetical protein,No COG annotation,167,,https://biocyc.org/gene?orgid=GCF_005931095&id=EQU24_RS20900
EQU24_RS13910,0.1172485905620655,,hypothetical protein,No COG annotation,1086,,https://biocyc.org/gene?orgid=GCF_005931095&id=EQU24_RS13910
EQU24_RS03760,0.1092056722371441,lolB,outer membrane lipoprotein LolB,Cell wall/membrane/envelope biogenesis,2338,"lipoprotein localization to outer membrane
lipoprotein localization to membrane
protein localization to membrane
lipoprotein metabolic process
cellular protein localization",https://biocyc.org/gene?orgid=GCF_005931095&id=EQU24_RS03760
EQU24_RS03555,0.0885717898598381,,hypothetical protein,No COG annotation,2363,,https://biocyc.org/gene?orgid=GCF_005931095&id=EQU24_RS03555
EQU24_RS19115,0.0879010378726438,cgtA,Obg family GTPase CgtA,Function unknown,412,"GTPase activity
ribosome assembly
nucleoside-triphosphatase activity
ribonucleoprotein complex assembly
ribonucleoprotein complex subunit organization",https://biocyc.org/gene?orgid=GCF_005931095&id=EQU24_RS19115
EQU24_RS15185,0.0871213161357691,hflK,FtsH protease activity modulator HflK,"Post-translational modification, protein turnover, and chaperones",913,"integral component of external side of plasma membrane
negative regulation of catalytic activity
proteolysis
integral component of plasma membrane
intrinsic component of external side of plasma membrane",https://biocyc.org/gene?orgid=GCF_005931095&id=EQU24_RS15185
EQU24_RS11930,0.0823073438466069,,DUF4351 domain-containing protein,Function unknown,1327,,https://biocyc.org/gene?orgid=GCF_005931095&id=EQU24_RS11930
EQU24_RS01110,0.0820338874842925,,hypothetical protein,Cell motility,2676,integral component of membrane,https://biocyc.org/gene?orgid=GCF_005931095&id=EQU24_RS01110
EQU24_RS19750,0.0800381616883479,rsmH,16S rRNA (cytosine(1402)-N(4))-methyltransferase RsmH,"Translation, ribosomal structure and biogenesis",330,"rRNA processing
rRNA metabolic process
ncRNA processing
rRNA modification
rRNA (cytosine-N4-)-methyltransferase activity",https://biocyc.org/gene?orgid=GCF_005931095&id=EQU24_RS19750
EQU24_RS19755,0.0793166462781368,mraZ,division/cell wall cluster transcriptional repressor MraZ,Transcription,330,"negative regulation of DNA-templated transcription, initiation
negative regulation of nucleic acid-templated transcription
regulation of nucleic acid-templated transcription
regulation of DNA-templated transcription, initiation
negative regulation of RNA biosynthetic process",https://biocyc.org/gene?orgid=GCF_005931095&id=EQU24_RS19755
EQU24_RS19120,0.0783273565638325,,50S ribosomal protein L27,"Translation, ribosomal structure and biogenesis",411,"mature ribosome assembly
assembly of large subunit precursor of preribosome
ribosomal large subunit assembly
ribosome assembly
positive regulation of ribosome biogenesis",https://biocyc.org/gene?orgid=GCF_005931095&id=EQU24_RS19120
EQU24_RS17660,0.0773558448988989,fliS,flagellar export chaperone FliS,Cell motility,596,"bacterial-type flagellum assembly
bacterial-type flagellum-dependent cell motility
archaeal or bacterial-type flagellum-dependent cell motility
cilium or flagellum-dependent cell motility
localization of cell",https://biocyc.org/gene?orgid=GCF_005931095&id=EQU24_RS17660
EQU24_RS05625,0.0766106020898022,,sel1 repeat family protein,Function unknown,2124,protein binding,https://biocyc.org/gene?orgid=GCF_005931095&id=EQU24_RS05625
EQU24_RS19635,0.0736268809187439,,hypothetical protein,No COG annotation,340,,https://biocyc.org/gene?orgid=GCF_005931095&id=EQU24_RS19635
EQU24_RS19745,0.0733522838451842,ftsL,cell division protein FtsL,"Cell cycle control, cell division, chromosome partitioning",330,"integral component of plasma membrane
intrinsic component of plasma membrane
integral component of membrane
cytokinesis
plasma membrane",https://biocyc.org/gene?orgid=GCF_005931095&id=EQU24_RS19745
EQU24_RS19290,0.0716707190542953,,hypothetical protein,No COG annotation,386,,https://biocyc.org/gene?orgid=GCF_005931095&id=EQU24_RS19290
EQU24_RS15990,0.0714249896821567,,hypothetical protein,No COG annotation,803,integral component of membrane,https://biocyc.org/gene?orgid=GCF_005931095&id=EQU24_RS15990
EQU24_RS22125,0.0712968990947554,,DUF4102 domain-containing protein,"Replication, recombination and repair",3,"DNA integration
DNA recombination
DNA binding
cytoplasm
intracellular anatomical structure",https://biocyc.org/gene?orgid=GCF_005931095&id=EQU24_RS22125
EQU24_RS02730,0.0700001479936352,,tyrosine--tRNA ligase,"Translation, ribosomal structure and biogenesis",2455,"tRNA metabolic process
tyrosyl-tRNA aminoacylation
ncRNA metabolic process
tRNA aminoacylation for protein translation
tRNA aminoacylation",https://biocyc.org/gene?orgid=GCF_005931095&id=EQU24_RS02730
