locus,gene_weight,gene_name,gene_product,cog,operon,link
EQU24_RS18060,0.0893197835964567,rplM,50S ribosomal protein L13,J,552,https://biocyc.org/gene?orgid=GCF_005931095&id=EQU24_RS18060
EQU24_RS15745,0.0781812829116029,,cold-shock protein,K,828,https://biocyc.org/gene?orgid=GCF_005931095&id=EQU24_RS15745
EQU24_RS01175,0.0739376819737409,umuD,translesion error-prone DNA polymerase V autoproteolytic subunit,K,2668,https://biocyc.org/gene?orgid=GCF_005931095&id=EQU24_RS01175
EQU24_RS07970,0.0724190377716799,,hypothetical protein,-,1829,https://biocyc.org/gene?orgid=GCF_005931095&id=EQU24_RS07970
EQU24_RS15125,0.0716596231308802,,,-,920,https://biocyc.org/gene?orgid=GCF_005931095&id=EQU24_RS15125
EQU24_RS00110,0.0671909435207423,,OsmC family protein,O,2817,https://biocyc.org/gene?orgid=GCF_005931095&id=EQU24_RS00110
EQU24_RS07375,0.0635329547590119,,,-,1895,https://biocyc.org/gene?orgid=GCF_005931095&id=EQU24_RS07375
EQU24_RS17665,0.0625644699451546,,IS4 family transposase,L,595,https://biocyc.org/gene?orgid=GCF_005931095&id=EQU24_RS17665
EQU24_RS18065,0.0615688112423218,rpsI,30S ribosomal protein S9,J,552,https://biocyc.org/gene?orgid=GCF_005931095&id=EQU24_RS18065
EQU24_RS05485,0.0609294625865162,efp,elongation factor P,J,2143,https://biocyc.org/gene?orgid=GCF_005931095&id=EQU24_RS05485
EQU24_RS00105,0.058910299154308,crp,cAMP-activated global transcriptional regulator CRP,K,2818,https://biocyc.org/gene?orgid=GCF_005931095&id=EQU24_RS00105
EQU24_RS18155,0.0570778796763636,,SRPBCC family protein,S,539,https://biocyc.org/gene?orgid=GCF_005931095&id=EQU24_RS18155
EQU24_RS17505,0.0569070973534684,,hypothetical protein,-,613,https://biocyc.org/gene?orgid=GCF_005931095&id=EQU24_RS17505
EQU24_RS04010,0.0566633988032952,,ferredoxin family protein,C,2327,https://biocyc.org/gene?orgid=GCF_005931095&id=EQU24_RS04010
EQU24_RS13235,0.0540622498351333,,hypothetical protein,-,1169,https://biocyc.org/gene?orgid=GCF_005931095&id=EQU24_RS13235
EQU24_RS19125,0.0532756949237457,rplU,50S ribosomal protein L21,J,411,https://biocyc.org/gene?orgid=GCF_005931095&id=EQU24_RS19125
EQU24_RS06005,0.0528262011590972,coaD,pantetheine-phosphate adenylyltransferase,H,2075,https://biocyc.org/gene?orgid=GCF_005931095&id=EQU24_RS06005
EQU24_RS18030,0.0527934016737084,,peptide deformylase,J,554,https://biocyc.org/gene?orgid=GCF_005931095&id=EQU24_RS18030
EQU24_RS04825,0.0522585688228746,,OmpH family outer membrane protein,M,2223,https://biocyc.org/gene?orgid=GCF_005931095&id=EQU24_RS04825
