locus,gene_weight,gene_name,gene_product,cog,operon,specific_gos_n,link
EQU24_RS03945,0.0695821425874372,rpsH,30S ribosomal protein S8,"Translation, ribosomal structure and biogenesis",2329,"ribosomal small subunit assembly
ribosome assembly
regulation of mRNA catabolic process
cytosolic ribosome
post-transcriptional regulation of gene expression",https://biocyc.org/gene?orgid=GCF_005931095&id=EQU24_RS03945
EQU24_RS03930,0.0678504927937512,rplX,50S ribosomal protein L24,"Translation, ribosomal structure and biogenesis",2329,"ribosomal large subunit assembly
ribosome assembly
cytosolic ribosome
ribonucleoprotein complex assembly
protein-containing complex assembly",https://biocyc.org/gene?orgid=GCF_005931095&id=EQU24_RS03930
EQU24_RS00680,0.0667895507674868,,selenium-binding protein,Function unknown,2738,selenium binding,https://biocyc.org/gene?orgid=GCF_005931095&id=EQU24_RS00680
EQU24_RS03935,0.0660165841283525,rplE,50S ribosomal protein L5,"Translation, ribosomal structure and biogenesis",2329,"ribosome assembly
ribosomal large subunit assembly
cytosolic ribosome
ribonucleoprotein complex assembly
5S rRNA binding",https://biocyc.org/gene?orgid=GCF_005931095&id=EQU24_RS03935
EQU24_RS03880,0.0660138874406858,rplD,50S ribosomal protein L4,"Translation, ribosomal structure and biogenesis",2330,"negative regulation of endoribonuclease activity
negative regulation of nucleic acid-templated transcription
negative regulation of cellular macromolecule biosynthetic process
negative regulation of transcription, DNA-templated
negative regulation of ribonuclease activity",https://biocyc.org/gene?orgid=GCF_005931095&id=EQU24_RS03880
EQU24_RS03965,0.0641612098857153,rpmD,50S ribosomal protein L30,"Translation, ribosomal structure and biogenesis",2329,"ribosome assembly
ribosomal large subunit assembly
cytosolic ribosome
ribonucleoprotein complex assembly
ribosomal large subunit biogenesis",https://biocyc.org/gene?orgid=GCF_005931095&id=EQU24_RS03965
EQU24_RS03920,0.0639130015758087,rpsQ,30S ribosomal protein S17,"Translation, ribosomal structure and biogenesis",2329,"ribosome assembly
ribosomal small subunit assembly
small ribosomal subunit rRNA binding
ribonucleoprotein complex assembly
cytosolic ribosome",https://biocyc.org/gene?orgid=GCF_005931095&id=EQU24_RS03920
EQU24_RS10725,0.0604337769216642,,NAD(P)/FAD-dependent oxidoreductase,Function unknown,1482,"oxidoreductase activity
",https://biocyc.org/gene?orgid=GCF_005931095&id=EQU24_RS10725
EQU24_RS03820,0.0594059914394678,rplK,50S ribosomal protein L11,"Translation, ribosomal structure and biogenesis",2335,"ribosome assembly
ribosomal large subunit assembly
translational termination
large ribosomal subunit rRNA binding
cytosolic ribosome",https://biocyc.org/gene?orgid=GCF_005931095&id=EQU24_RS03820
EQU24_RS03830,0.0592735294351015,,50S ribosomal protein L10,"Translation, ribosomal structure and biogenesis",2334,"negative regulation of cellular macromolecule biosynthetic process
negative regulation of translation
regulation of cellular macromolecule biosynthetic process
negative regulation of gene expression
negative regulation of cellular amide metabolic process",https://biocyc.org/gene?orgid=GCF_005931095&id=EQU24_RS03830
