locus,gene_weight,gene_name,gene_product,cog,operon,link
EQU24_RS01175,0.1660014288384682,umuD,translesion error-prone DNA polymerase V autoproteolytic subunit,K,2668,https://biocyc.org/gene?orgid=GCF_005931095&id=EQU24_RS01175
EQU24_RS01385,0.1653583073965159,lexA,transcriptional repressor LexA,K,309,https://biocyc.org/gene?orgid=GCF_005931095&id=EQU24_RS01385
EQU24_RS19880,0.1566221179255046,,hypothetical protein,-,311,https://biocyc.org/gene?orgid=GCF_005931095&id=EQU24_RS19880
EQU24_RS17465,0.1404717381542929,,hypothetical protein,-,621,https://biocyc.org/gene?orgid=GCF_005931095&id=EQU24_RS17465
EQU24_RS19890,0.1214098166354914,lexA,transcriptional repressor LexA,K,309,https://biocyc.org/gene?orgid=GCF_005931095&id=EQU24_RS19890
EQU24_RS17460,0.0901021042132802,,sel1 repeat family protein,-,622,https://biocyc.org/gene?orgid=GCF_005931095&id=EQU24_RS17460
EQU24_RS02775,0.0837139590134263,,AAA family ATPase,O,2451,https://biocyc.org/gene?orgid=GCF_005931095&id=EQU24_RS02775
EQU24_RS01340,0.0819032124351717,,hypothetical protein,S,2649,https://biocyc.org/gene?orgid=GCF_005931095&id=EQU24_RS01340
EQU24_RS14125,0.0814412292634691,ctaD,cytochrome c oxidase subunit I,C,1055,https://biocyc.org/gene?orgid=GCF_005931095&id=EQU24_RS14125
EQU24_RS20950,0.0791833284713048,,ISKra4 family transposase,L,161,https://biocyc.org/gene?orgid=GCF_005931095&id=EQU24_RS20950
EQU24_RS01390,0.0791539322850842,,hypothetical protein,-,2642,https://biocyc.org/gene?orgid=GCF_005931095&id=EQU24_RS01390
EQU24_RS08005,0.0771663080751544,umuD,translesion error-prone DNA polymerase V autoproteolytic subunit,K,1824,https://biocyc.org/gene?orgid=GCF_005931095&id=EQU24_RS08005
EQU24_RS16885,0.0766402881876926,umuD,translesion error-prone DNA polymerase V autoproteolytic subunit,K,308,https://biocyc.org/gene?orgid=GCF_005931095&id=EQU24_RS16885
EQU24_RS18955,0.0756021383135775,lexA,transcriptional repressor LexA,K,309,https://biocyc.org/gene?orgid=GCF_005931095&id=EQU24_RS18955
EQU24_RS01345,0.0753648877011335,,type II toxin-antitoxin system HipA family toxin,S,2648,https://biocyc.org/gene?orgid=GCF_005931095&id=EQU24_RS01345
EQU24_RS04290,0.0734587815517564,,DNA-binding transcriptional regulator,K,2292,https://biocyc.org/gene?orgid=GCF_005931095&id=EQU24_RS04290
EQU24_RS04285,0.0705766173523677,,type II toxin-antitoxin system RelE/ParE family toxin,S,2292,https://biocyc.org/gene?orgid=GCF_005931095&id=EQU24_RS04285
