,name,x,y,cog,color,link,gene_product
meta,start,0.4115464997785073,,,,,
EQU24_RS00005,dnaA,0,-0.0038940987203666,"Replication, recombination and repair",#1e90ff,,chromosomal replication initiator protein DnaA
EQU24_RS00010,,1502,0.0009942698093418,"Replication, recombination and repair",#1e90ff,,DNA polymerase III subunit beta
EQU24_RS00015,recF,3060,-0.0059177777484416,"Replication, recombination and repair",#1e90ff,,DNA replication/repair protein RecF
EQU24_RS00020,gyrB,4185,-0.0023540176614703,"Replication, recombination and repair",#1e90ff,,DNA topoisomerase (ATP-hydrolyzing) subunit B
EQU24_RS00025,,6825,-0.0020903710169814,No COG annotation,#00bfbf,,hypothetical protein
EQU24_RS00030,,7098,0.0344272943223891,Function unknown,#0000ff,,DUF2283 domain-containing protein
EQU24_RS00035,,7350,-0.0066058716900219,No COG annotation,#00bfbf,,hypothetical protein
EQU24_RS00040,,7818,-0.0020295646482981,Cell wall/membrane/envelope biogenesis,#c71585,,TolC family protein
EQU24_RS00045,,9071,-0.0066542780457318,Cell wall/membrane/envelope biogenesis,#c71585,,efflux RND transporter periplasmic adaptor subunit
EQU24_RS00050,,10240,0.0038393039678322,Inorganic ion transport and metabolism,#8b4513,,efflux RND transporter permease subunit
EQU24_RS00055,,13298,-0.0172924653435545,Function unknown,#0000ff,,DUF3240 domain-containing protein
EQU24_RS00060,,13842,1.6227859140174602e-06,Signal transduction mechanisms,#f4a460,,bifunctional diguanylate cyclase/phosphodiesterase
EQU24_RS00065,,17565,0.015023803799723,Function unknown,#0000ff,,DUF839 domain-containing protein
EQU24_RS00070,tatA,19263,-0.0062123592568014,"Intracellular trafficking, secretion, and vesicular transport",#40e0d0,,twin-arginine translocase TatA/TatE family subunit
EQU24_RS00075,tatB,19487,-0.008504663826831,"Intracellular trafficking, secretion, and vesicular transport",#40e0d0,,twin-arginine translocase subunit TatB
EQU24_RS00080,,20389,0.0102095254750523,"Post-translational modification, protein turnover, and chaperones",#add8e6,,hypothetical protein
EQU24_RS00085,,21633,0.0118798196735914,Cell wall/membrane/envelope biogenesis,#c71585,,prolipoprotein diacylglyceryl transferase
EQU24_RS00090,thyA,22412,0.007572108396217,Nucleotide transport and metabolism,#87ceeb,,thymidylate synthase
