locus,gene_weight,gene_name,gene_product,cog,operon,link
EQU24_RS01150,0.208770711585585,,hypothetical protein,-,2671,https://biocyc.org/gene?orgid=GCF_005931095&id=EQU24_RS01150
EQU24_RS19125,0.1253645317439485,rplU,50S ribosomal protein L21,J,411,https://biocyc.org/gene?orgid=GCF_005931095&id=EQU24_RS19125
EQU24_RS02170,0.1239300778984623,,LapA family protein,S,2530,https://biocyc.org/gene?orgid=GCF_005931095&id=EQU24_RS02170
EQU24_RS20900,0.1203905304731704,,hypothetical protein,-,167,https://biocyc.org/gene?orgid=GCF_005931095&id=EQU24_RS20900
EQU24_RS13910,0.1172485905620655,,hypothetical protein,-,1086,https://biocyc.org/gene?orgid=GCF_005931095&id=EQU24_RS13910
EQU24_RS03760,0.1092056722371441,lolB,outer membrane lipoprotein LolB,M,2338,https://biocyc.org/gene?orgid=GCF_005931095&id=EQU24_RS03760
EQU24_RS03555,0.0885717898598381,,hypothetical protein,-,2363,https://biocyc.org/gene?orgid=GCF_005931095&id=EQU24_RS03555
EQU24_RS19115,0.0879010378726438,cgtA,Obg family GTPase CgtA,S,412,https://biocyc.org/gene?orgid=GCF_005931095&id=EQU24_RS19115
EQU24_RS15185,0.0871213161357691,hflK,FtsH protease activity modulator HflK,O,913,https://biocyc.org/gene?orgid=GCF_005931095&id=EQU24_RS15185
EQU24_RS11930,0.0823073438466069,,DUF4351 domain-containing protein,S,1327,https://biocyc.org/gene?orgid=GCF_005931095&id=EQU24_RS11930
EQU24_RS01110,0.0820338874842925,,hypothetical protein,N,2676,https://biocyc.org/gene?orgid=GCF_005931095&id=EQU24_RS01110
EQU24_RS19750,0.0800381616883479,rsmH,16S rRNA (cytosine(1402)-N(4))-methyltransferase RsmH,J,330,https://biocyc.org/gene?orgid=GCF_005931095&id=EQU24_RS19750
EQU24_RS19755,0.0793166462781368,mraZ,division/cell wall cluster transcriptional repressor MraZ,K,330,https://biocyc.org/gene?orgid=GCF_005931095&id=EQU24_RS19755
EQU24_RS19120,0.0783273565638325,,50S ribosomal protein L27,J,411,https://biocyc.org/gene?orgid=GCF_005931095&id=EQU24_RS19120
EQU24_RS17660,0.0773558448988989,fliS,flagellar export chaperone FliS,N,596,https://biocyc.org/gene?orgid=GCF_005931095&id=EQU24_RS17660
EQU24_RS05625,0.0766106020898022,,sel1 repeat family protein,S,2124,https://biocyc.org/gene?orgid=GCF_005931095&id=EQU24_RS05625
EQU24_RS19635,0.0736268809187439,,hypothetical protein,-,340,https://biocyc.org/gene?orgid=GCF_005931095&id=EQU24_RS19635
EQU24_RS19745,0.0733522838451842,ftsL,cell division protein FtsL,D,330,https://biocyc.org/gene?orgid=GCF_005931095&id=EQU24_RS19745
EQU24_RS19290,0.0716707190542953,,hypothetical protein,-,386,https://biocyc.org/gene?orgid=GCF_005931095&id=EQU24_RS19290
EQU24_RS15990,0.0714249896821567,,hypothetical protein,-,803,https://biocyc.org/gene?orgid=GCF_005931095&id=EQU24_RS15990
EQU24_RS22125,0.0712968990947554,,DUF4102 domain-containing protein,L,3,https://biocyc.org/gene?orgid=GCF_005931095&id=EQU24_RS22125
EQU24_RS02730,0.0700001479936352,,tyrosine--tRNA ligase,J,2455,https://biocyc.org/gene?orgid=GCF_005931095&id=EQU24_RS02730
EQU24_RS04305,0.0693853274032844,,DUF4351 domain-containing protein,S,2289,https://biocyc.org/gene?orgid=GCF_005931095&id=EQU24_RS04305
EQU24_RS03880,0.0684298459297928,rplD,50S ribosomal protein L4,J,2330,https://biocyc.org/gene?orgid=GCF_005931095&id=EQU24_RS03880
EQU24_RS00495,0.0676999180656278,plsY,glycerol-3-phosphate 1-O-acyltransferase PlsY,I,2764,https://biocyc.org/gene?orgid=GCF_005931095&id=EQU24_RS00495
