,name,x,y,cog,color,link,gene_product
meta,start,0.06036762623714405,,,,,
EQU24_RS00005,dnaA,0,-0.0122104205368008,"Replication, recombination and repair",#1e90ff,,chromosomal replication initiator protein DnaA
EQU24_RS00010,,1502,-0.0163586501581777,"Replication, recombination and repair",#1e90ff,,DNA polymerase III subunit beta
EQU24_RS00015,recF,3060,-0.0044335408175246,"Replication, recombination and repair",#1e90ff,,DNA replication/repair protein RecF
EQU24_RS00020,gyrB,4185,0.0011085011492143,"Replication, recombination and repair",#1e90ff,,DNA topoisomerase (ATP-hydrolyzing) subunit B
EQU24_RS00025,,6825,0.0084469655896703,No COG annotation,#00bfbf,,hypothetical protein
EQU24_RS00030,,7098,0.0116065440988354,Function unknown,#0000ff,,DUF2283 domain-containing protein
EQU24_RS00035,,7350,-0.0097004526412569,No COG annotation,#00bfbf,,hypothetical protein
EQU24_RS00040,,7818,-0.0024001479721661,Cell wall/membrane/envelope biogenesis,#c71585,,TolC family protein
EQU24_RS00045,,9071,0.0053582013273441,Cell wall/membrane/envelope biogenesis,#c71585,,efflux RND transporter periplasmic adaptor subunit
EQU24_RS00050,,10240,-0.0042526331698957,Inorganic ion transport and metabolism,#8b4513,,efflux RND transporter permease subunit
EQU24_RS00055,,13298,0.0247809495016442,Function unknown,#0000ff,,DUF3240 domain-containing protein
EQU24_RS00060,,13842,0.0031694329645984,Signal transduction mechanisms,#f4a460,,bifunctional diguanylate cyclase/phosphodiesterase
EQU24_RS00065,,17565,0.0038134205552964,Function unknown,#0000ff,,DUF839 domain-containing protein
EQU24_RS00070,tatA,19263,0.044150327352099,"Intracellular trafficking, secretion, and vesicular transport",#40e0d0,,twin-arginine translocase TatA/TatE family subunit
EQU24_RS00075,tatB,19487,0.0292719828881124,"Intracellular trafficking, secretion, and vesicular transport",#40e0d0,,twin-arginine translocase subunit TatB
EQU24_RS00080,,20389,0.0015944276774042,"Post-translational modification, protein turnover, and chaperones",#add8e6,,hypothetical protein
EQU24_RS00085,,21633,-0.0217082914458733,Cell wall/membrane/envelope biogenesis,#c71585,,prolipoprotein diacylglyceryl transferase
EQU24_RS00090,thyA,22412,-0.0143084946855566,Nucleotide transport and metabolism,#87ceeb,,thymidylate synthase
EQU24_RS00095,,23251,-0.0046089667907776,No COG annotation,#00bfbf,,hypothetical protein
EQU24_RS00100,,23841,0.0033244712621718,Function unknown,#0000ff,,YchJ family protein
EQU24_RS00105,crp,24340,0.0035930400010195,Transcription,#000000,,cAMP-activated global transcriptional regulator CRP
EQU24_RS00110,,25137,-0.0055666743294963,"Post-translational modification, protein turnover, and chaperones",#add8e6,,OsmC family protein
EQU24_RS00115,speD,25560,-0.0071403965810721,Amino acid transport and metabolism,#ff0000,,adenosylmethionine decarboxylase
EQU24_RS00125,,29783,-0.0002739960935779,Function unknown,#0000ff,,autotransporter outer membrane beta-barrel domain-containing protein
EQU24_RS00130,,32310,0.0205686579968526,No COG annotation,#00bfbf,,hypothetical protein
EQU24_RS00135,,32679,0.0132263516265566,Function unknown,#0000ff,,DUF2807 domain-containing protein
EQU24_RS00140,,33495,0.0034655395212657,Cell wall/membrane/envelope biogenesis,#c71585,,OmpA family protein
EQU24_RS00145,,34142,-0.0186431494902505,"Translation, ribosomal structure and biogenesis",#daa520,,hypothetical protein
EQU24_RS00150,,34455,0.0154037794768927,Cell wall/membrane/envelope biogenesis,#c71585,,DUF4384 domain-containing protein
EQU24_RS00155,,36035,0.0135462357149036,No COG annotation,#00bfbf,,hypothetical protein
EQU24_RS00160,,36419,0.0287916887102639,No COG annotation,#00bfbf,,hypothetical protein
EQU24_RS00165,,36832,-0.0126798746170957,No COG annotation,#00bfbf,,hypothetical protein
EQU24_RS00170,,38627,0.0028126665702817,Function unknown,#0000ff,,caspase family protein
