locus,gene_weight,gene_name,gene_product,cog,operon,specific_gos_n,link
EQU24_RS10960,0.3466347598209798,,hypothetical protein,No COG annotation,1458,,https://biocyc.org/gene?orgid=GCF_005931095&id=EQU24_RS10960
EQU24_RS14765,0.3314641472799063,,hypothetical protein,Function unknown,965,integral component of membrane,https://biocyc.org/gene?orgid=GCF_005931095&id=EQU24_RS14765
EQU24_RS01385,0.1485253328049071,lexA,transcriptional repressor LexA,Transcription,309,"positive regulation of nucleic acid-templated transcription
negative regulation of nucleic acid-templated transcription
positive regulation of transcription, DNA-templated
negative regulation of cellular macromolecule biosynthetic process
negative regulation of transcription, DNA-templated",https://biocyc.org/gene?orgid=GCF_005931095&id=EQU24_RS01385
EQU24_RS18430,0.1422021992014894,,IS4 family transposase,"Replication, recombination and repair",501,"DNA binding
transposase activity
transposition, DNA-mediated",https://biocyc.org/gene?orgid=GCF_005931095&id=EQU24_RS18430
EQU24_RS19095,0.1368079939004702,,hypothetical protein,No COG annotation,415,integral component of membrane,https://biocyc.org/gene?orgid=GCF_005931095&id=EQU24_RS19095
EQU24_RS12140,0.1357876276257846,cas2,CRISPR-associated endonuclease Cas2,"Replication, recombination and repair",1307,"RNA phosphodiester bond hydrolysis, endonucleolytic
maintenance of CRISPR repeat elements
endoribonuclease activity
defense response to virus
metal ion binding",https://biocyc.org/gene?orgid=GCF_005931095&id=EQU24_RS12140
EQU24_RS01760,0.1323298244005611,cydX,cytochrome bd-I oxidase subunit CydX,Function unknown,2591,"integral component of plasma membrane
outer membrane
integral component of membrane
intrinsic component of plasma membrane
plasma membrane",https://biocyc.org/gene?orgid=GCF_005931095&id=EQU24_RS01760
EQU24_RS17665,0.1058593471301859,,IS4 family transposase,"Replication, recombination and repair",595,"DNA binding
transposase activity
transposition, DNA-mediated
integral component of membrane",https://biocyc.org/gene?orgid=GCF_005931095&id=EQU24_RS17665
EQU24_RS20320,0.1005439787617974,,DUF2442 domain-containing protein,Function unknown,252,,https://biocyc.org/gene?orgid=GCF_005931095&id=EQU24_RS20320
EQU24_RS10630,0.0934603988535922,,hypothetical protein,No COG annotation,1492,"biological_process
cellular_component
molecular_function",https://biocyc.org/gene?orgid=GCF_005931095&id=EQU24_RS10630
EQU24_RS19915,0.0834517557021378,,hypothetical protein,No COG annotation,304,"nucleotide binding
integral component of membrane
hydrolase activity
membrane",https://biocyc.org/gene?orgid=GCF_005931095&id=EQU24_RS19915
EQU24_RS08710,0.0818211967138325,,hypothetical protein,No COG annotation,1728,,https://biocyc.org/gene?orgid=GCF_005931095&id=EQU24_RS08710
EQU24_RS16555,-0.0824424009924508,,hypothetical protein,No COG annotation,728,,https://biocyc.org/gene?orgid=GCF_005931095&id=EQU24_RS16555
EQU24_RS20610,-0.0927916612672122,,ISAs1 family transposase,"Replication, recombination and repair",212,"DNA binding
transposase activity
transposition, DNA-mediated",https://biocyc.org/gene?orgid=GCF_005931095&id=EQU24_RS20610
EQU24_RS14750,-0.1015768106418495,,DUF883 family protein,Function unknown,967,"ribosome binding
integral component of membrane",https://biocyc.org/gene?orgid=GCF_005931095&id=EQU24_RS14750
EQU24_RS00175,-0.1126510100989767,,hypothetical protein,"Replication, recombination and repair",2808,"DNA binding
transposase activity
transposition, DNA-mediated
membrane",https://biocyc.org/gene?orgid=GCF_005931095&id=EQU24_RS00175
EQU24_RS07995,-0.1330220781579013,,IS3 family transposase,"Replication, recombination and repair",1825,"DNA integration
sequence-specific DNA binding
transposition",https://biocyc.org/gene?orgid=GCF_005931095&id=EQU24_RS07995
