locus,gene_weight,gene_name,gene_product,cog,operon,specific_gos_n,link
EQU24_RS12110,0.1924681826606009,,GIY-YIG nuclease family protein,"Replication, recombination and repair",1309,"3'-5'-exodeoxyribonuclease activity
3'-5' exonuclease activity
exonuclease activity, active with either ribo- or deoxyribonucleic acids and producing 5'-phosphomonoesters
exodeoxyribonuclease activity, producing 5'-phosphomonoesters
nucleic acid phosphodiester bond hydrolysis",https://biocyc.org/gene?orgid=GCF_005931095&id=EQU24_RS12110
EQU24_RS10700,0.1876727700727951,,hypothetical protein,No COG annotation,1486,,https://biocyc.org/gene?orgid=GCF_005931095&id=EQU24_RS10700
EQU24_RS01155,0.1743601332879392,,hypothetical protein,No COG annotation,2670,,https://biocyc.org/gene?orgid=GCF_005931095&id=EQU24_RS01155
EQU24_RS06295,0.1682868882153086,,HTH domain-containing protein,Transcription,2038,,https://biocyc.org/gene?orgid=GCF_005931095&id=EQU24_RS06295
EQU24_RS10730,0.1640854165219639,,hypothetical protein,Function unknown,1481,,https://biocyc.org/gene?orgid=GCF_005931095&id=EQU24_RS10730
EQU24_RS01260,0.1639727965145427,,hypothetical protein,No COG annotation,2659,,https://biocyc.org/gene?orgid=GCF_005931095&id=EQU24_RS01260
EQU24_RS20235,0.1619642520287117,,hypothetical protein,"Replication, recombination and repair",261,"nucleotidyltransferase activity
membrane",https://biocyc.org/gene?orgid=GCF_005931095&id=EQU24_RS20235
EQU24_RS06145,0.1617831298883304,,hypothetical protein,No COG annotation,2059,,https://biocyc.org/gene?orgid=GCF_005931095&id=EQU24_RS06145
EQU24_RS01125,0.1534439221857224,,hypothetical protein,No COG annotation,2673,,https://biocyc.org/gene?orgid=GCF_005931095&id=EQU24_RS01125
EQU24_RS17215,0.1521795256421374,,FprA family A-type flavoprotein,Energy production and conversion,650,"iron ion binding
transition metal ion binding
nitric oxide reductase activity
metal ion binding
FMN binding",https://biocyc.org/gene?orgid=GCF_005931095&id=EQU24_RS17215
