locus,gene_weight,gene_name,gene_product,cog,operon,specific_gos_n,link
EQU24_RS03455,0.3029553904917226,,hypothetical protein,No COG annotation,2375,,https://biocyc.org/gene?orgid=GCF_005931095&id=EQU24_RS03455
EQU24_RS16380,0.2815204370476988,,hypothetical protein,No COG annotation,753,,https://biocyc.org/gene?orgid=GCF_005931095&id=EQU24_RS16380
EQU24_RS10685,0.2705547952954163,,hypothetical protein,No COG annotation,1488,"DNA binding
transposase activity
transposition, DNA-mediated
integral component of membrane",https://biocyc.org/gene?orgid=GCF_005931095&id=EQU24_RS10685
EQU24_RS03435,0.2532357422754237,,hypothetical protein,No COG annotation,2379,,https://biocyc.org/gene?orgid=GCF_005931095&id=EQU24_RS03435
EQU24_RS21260,0.2302906556637076,,hypothetical protein,No COG annotation,120,,https://biocyc.org/gene?orgid=GCF_005931095&id=EQU24_RS21260
EQU24_RS11990,0.2037154806076692,,IS1595 family transposase,"Replication, recombination and repair",1320,integral component of membrane,https://biocyc.org/gene?orgid=GCF_005931095&id=EQU24_RS11990
EQU24_RS01555,0.194751165846387,,hypothetical protein,No COG annotation,2616,integral component of membrane,https://biocyc.org/gene?orgid=GCF_005931095&id=EQU24_RS01555
EQU24_RS08710,0.1778122591057689,,hypothetical protein,No COG annotation,1728,,https://biocyc.org/gene?orgid=GCF_005931095&id=EQU24_RS08710
EQU24_RS01175,0.1687435043654079,umuD,translesion error-prone DNA polymerase V autoproteolytic subunit,Transcription,2668,"regulation of transcription, DNA-templated
DNA repair
DNA binding
SOS response
hydrolase activity",https://biocyc.org/gene?orgid=GCF_005931095&id=EQU24_RS01175
EQU24_RS14930,0.1303170149011446,,hypothetical protein,No COG annotation,947,integral component of membrane,https://biocyc.org/gene?orgid=GCF_005931095&id=EQU24_RS14930
