,name,x,y,cog,color,link,gene_product
meta,start,0.1242796000089442,,,,,
EQU24_RS00005,dnaA,0,0.0024297854760234,"Replication, recombination and repair",#1e90ff,,chromosomal replication initiator protein DnaA
EQU24_RS00010,,1502,-0.0095436385422391,"Replication, recombination and repair",#1e90ff,,DNA polymerase III subunit beta
EQU24_RS00015,recF,3060,0.0045609135359894,"Replication, recombination and repair",#1e90ff,,DNA replication/repair protein RecF
EQU24_RS00020,gyrB,4185,-0.0050751127645639,"Replication, recombination and repair",#1e90ff,,DNA topoisomerase (ATP-hydrolyzing) subunit B
EQU24_RS00025,,6825,0.008858556604464,No COG annotation,#00bfbf,,hypothetical protein
EQU24_RS00030,,7098,-0.0324105217849766,Function unknown,#0000ff,,DUF2283 domain-containing protein
EQU24_RS00035,,7350,-0.0104551404472458,No COG annotation,#00bfbf,,hypothetical protein
EQU24_RS00040,,7818,0.0148598927605575,Cell wall/membrane/envelope biogenesis,#c71585,,TolC family protein
EQU24_RS00045,,9071,0.0171182936284436,Cell wall/membrane/envelope biogenesis,#c71585,,efflux RND transporter periplasmic adaptor subunit
EQU24_RS00050,,10240,0.0012298243481491,Inorganic ion transport and metabolism,#8b4513,,efflux RND transporter permease subunit
EQU24_RS00055,,13298,0.0035570383393632,Function unknown,#0000ff,,DUF3240 domain-containing protein
EQU24_RS00060,,13842,-0.0070170424301003,Signal transduction mechanisms,#f4a460,,bifunctional diguanylate cyclase/phosphodiesterase
EQU24_RS00065,,17565,-0.0122278720496745,Function unknown,#0000ff,,DUF839 domain-containing protein
EQU24_RS00070,tatA,19263,-0.0449031314154091,"Intracellular trafficking, secretion, and vesicular transport",#40e0d0,,twin-arginine translocase TatA/TatE family subunit
EQU24_RS00075,tatB,19487,-0.0261319913822132,"Intracellular trafficking, secretion, and vesicular transport",#40e0d0,,twin-arginine translocase subunit TatB
EQU24_RS00080,,20389,-0.0010155740532816,"Post-translational modification, protein turnover, and chaperones",#add8e6,,hypothetical protein
EQU24_RS00085,,21633,-0.0041458860422877,Cell wall/membrane/envelope biogenesis,#c71585,,prolipoprotein diacylglyceryl transferase
EQU24_RS00090,thyA,22412,0.0034183155719599,Nucleotide transport and metabolism,#87ceeb,,thymidylate synthase
EQU24_RS00095,,23251,0.0052171675586673,No COG annotation,#00bfbf,,hypothetical protein
EQU24_RS00100,,23841,-0.0045218457292358,Function unknown,#0000ff,,YchJ family protein
