,name,x,y,cog,color,link,gene_product
meta,start,0.11266192124156685,,,,,
EQU24_RS00005,dnaA,0,-0.0055786775973279,"Replication, recombination and repair",#1e90ff,,chromosomal replication initiator protein DnaA
EQU24_RS00010,,1502,-0.0089791227479934,"Replication, recombination and repair",#1e90ff,,DNA polymerase III subunit beta
EQU24_RS00015,recF,3060,-0.0045361031527776,"Replication, recombination and repair",#1e90ff,,DNA replication/repair protein RecF
EQU24_RS00020,gyrB,4185,0.0003299718889824,"Replication, recombination and repair",#1e90ff,,DNA topoisomerase (ATP-hydrolyzing) subunit B
EQU24_RS00025,,6825,-0.0034300621490196,No COG annotation,#00bfbf,,hypothetical protein
EQU24_RS00030,,7098,0.0062729659405872,Function unknown,#0000ff,,DUF2283 domain-containing protein
EQU24_RS00035,,7350,0.0173532377312685,No COG annotation,#00bfbf,,hypothetical protein
EQU24_RS00040,,7818,-0.0034320587138428,Cell wall/membrane/envelope biogenesis,#c71585,,TolC family protein
EQU24_RS00045,,9071,0.0109448317166165,Cell wall/membrane/envelope biogenesis,#c71585,,efflux RND transporter periplasmic adaptor subunit
EQU24_RS00050,,10240,-0.000117558756974,Inorganic ion transport and metabolism,#8b4513,,efflux RND transporter permease subunit
EQU24_RS00055,,13298,0.0002335340476522,Function unknown,#0000ff,,DUF3240 domain-containing protein
EQU24_RS00060,,13842,0.0061167032054045,Signal transduction mechanisms,#f4a460,,bifunctional diguanylate cyclase/phosphodiesterase
EQU24_RS00065,,17565,0.0201181102243581,Function unknown,#0000ff,,DUF839 domain-containing protein
EQU24_RS00070,tatA,19263,0.0018254995991605,"Intracellular trafficking, secretion, and vesicular transport",#40e0d0,,twin-arginine translocase TatA/TatE family subunit
EQU24_RS00075,tatB,19487,-0.0939055452730594,"Intracellular trafficking, secretion, and vesicular transport",#40e0d0,,twin-arginine translocase subunit TatB
EQU24_RS00080,,20389,-0.0028572367318158,"Post-translational modification, protein turnover, and chaperones",#add8e6,,hypothetical protein
EQU24_RS00085,,21633,-0.0234237818487562,Cell wall/membrane/envelope biogenesis,#c71585,,prolipoprotein diacylglyceryl transferase
EQU24_RS00090,thyA,22412,-0.0010782875921586,Nucleotide transport and metabolism,#87ceeb,,thymidylate synthase
EQU24_RS00095,,23251,0.001501593356897,No COG annotation,#00bfbf,,hypothetical protein
EQU24_RS00100,,23841,0.0028470684713584,Function unknown,#0000ff,,YchJ family protein
EQU24_RS00105,crp,24340,0.0065647218691063,Transcription,#000000,,cAMP-activated global transcriptional regulator CRP
EQU24_RS00110,,25137,-0.0083884547922524,"Post-translational modification, protein turnover, and chaperones",#add8e6,,OsmC family protein
EQU24_RS00115,speD,25560,0.0025599333650083,Amino acid transport and metabolism,#ff0000,,adenosylmethionine decarboxylase
EQU24_RS00125,,29783,-0.0013147865354829,Function unknown,#0000ff,,autotransporter outer membrane beta-barrel domain-containing protein
EQU24_RS00130,,32310,-0.0030295136234525,No COG annotation,#00bfbf,,hypothetical protein
EQU24_RS00135,,32679,0.0086237538374475,Function unknown,#0000ff,,DUF2807 domain-containing protein
EQU24_RS00140,,33495,0.0052697688114611,Cell wall/membrane/envelope biogenesis,#c71585,,OmpA family protein
EQU24_RS00145,,34142,-0.0114101500999755,"Translation, ribosomal structure and biogenesis",#daa520,,hypothetical protein
EQU24_RS00150,,34455,-0.0026630452957525,Cell wall/membrane/envelope biogenesis,#c71585,,DUF4384 domain-containing protein
EQU24_RS00155,,36035,0.0327309801704882,No COG annotation,#00bfbf,,hypothetical protein
EQU24_RS00160,,36419,0.009969391043244,No COG annotation,#00bfbf,,hypothetical protein
EQU24_RS00165,,36832,-0.002113399327434,No COG annotation,#00bfbf,,hypothetical protein
EQU24_RS00170,,38627,0.0244528110661533,Function unknown,#0000ff,,caspase family protein
EQU24_RS00175,,39992,-0.0085883007267072,"Replication, recombination and repair",#1e90ff,,hypothetical protein
EQU24_RS00180,,40588,0.0135628043465567,"Replication, recombination and repair",#1e90ff,,ISAzo13 family transposase
