locus,gene_weight,gene_name,gene_product,cog,operon,link
EQU24_RS20650,0.1279042895673821,,,-,207,https://biocyc.org/gene?orgid=GCF_005931095&id=EQU24_RS20650
EQU24_RS12805,0.1251373807022476,,IS4 family transposase,L,1225,https://biocyc.org/gene?orgid=GCF_005931095&id=EQU24_RS12805
EQU24_RS11170,0.1167887916062872,,hypothetical protein,-,1430,https://biocyc.org/gene?orgid=GCF_005931095&id=EQU24_RS11170
EQU24_RS04160,0.1082365828446981,,,-,2308,https://biocyc.org/gene?orgid=GCF_005931095&id=EQU24_RS04160
EQU24_RS17185,0.1078650044580621,,IS66 family transposase,L,653,https://biocyc.org/gene?orgid=GCF_005931095&id=EQU24_RS17185
EQU24_RS14940,0.1021074154932211,,hypothetical protein,S,946,https://biocyc.org/gene?orgid=GCF_005931095&id=EQU24_RS14940
EQU24_RS18860,0.1004108978556453,,,-,445,https://biocyc.org/gene?orgid=GCF_005931095&id=EQU24_RS18860
EQU24_RS05075,0.0903358142841107,,hypothetical protein,-,2192,https://biocyc.org/gene?orgid=GCF_005931095&id=EQU24_RS05075
EQU24_RS00175,0.0864481208852633,,hypothetical protein,L,2808,https://biocyc.org/gene?orgid=GCF_005931095&id=EQU24_RS00175
EQU24_RS06200,0.0835247341993886,,transposase,L,2051,https://biocyc.org/gene?orgid=GCF_005931095&id=EQU24_RS06200
EQU24_RS14935,0.0794640417714727,urtA,urea ABC transporter substrate-binding protein,E,946,https://biocyc.org/gene?orgid=GCF_005931095&id=EQU24_RS14935
EQU24_RS02055,0.0752232727483323,,TonB-dependent receptor,P,2549,https://biocyc.org/gene?orgid=GCF_005931095&id=EQU24_RS02055
EQU24_RS09835,0.0745992158408634,,,-,1582,https://biocyc.org/gene?orgid=GCF_005931095&id=EQU24_RS09835
EQU24_RS21260,0.0716369932868101,,hypothetical protein,-,120,https://biocyc.org/gene?orgid=GCF_005931095&id=EQU24_RS21260
EQU24_RS10830,0.0663468541675044,,efflux transporter outer membrane subunit,M,1466,https://biocyc.org/gene?orgid=GCF_005931095&id=EQU24_RS10830
EQU24_RS13665,0.0610701848235032,,hypothetical protein,-,1118,https://biocyc.org/gene?orgid=GCF_005931095&id=EQU24_RS13665
EQU24_RS10535,0.0604961469493809,,STAS domain-containing protein,T,1500,https://biocyc.org/gene?orgid=GCF_005931095&id=EQU24_RS10535
EQU24_RS12785,0.0565623199691162,,hypothetical protein,-,1228,https://biocyc.org/gene?orgid=GCF_005931095&id=EQU24_RS12785
EQU24_RS08460,0.0562892702653394,urtC,urea ABC transporter permease subunit UrtC,E,1762,https://biocyc.org/gene?orgid=GCF_005931095&id=EQU24_RS08460
EQU24_RS01125,0.055950806230529,,hypothetical protein,-,2673,https://biocyc.org/gene?orgid=GCF_005931095&id=EQU24_RS01125
EQU24_RS02780,0.0558901234854621,,,-,2450,https://biocyc.org/gene?orgid=GCF_005931095&id=EQU24_RS02780
EQU24_RS10825,0.0552469381860509,,multidrug efflux RND transporter permease subunit,V,1466,https://biocyc.org/gene?orgid=GCF_005931095&id=EQU24_RS10825
EQU24_RS13585,0.0544540014620648,,OmpA family protein,M,1129,https://biocyc.org/gene?orgid=GCF_005931095&id=EQU24_RS13585
EQU24_RS16295,0.0542961398601962,,hypothetical protein,-,760,https://biocyc.org/gene?orgid=GCF_005931095&id=EQU24_RS16295
EQU24_RS21910,0.0537248729550414,,MotA/TolQ/ExbB proton channel family protein,U,33,https://biocyc.org/gene?orgid=GCF_005931095&id=EQU24_RS21910
EQU24_RS09570,0.0514045598158024,,hypothetical protein,-,1616,https://biocyc.org/gene?orgid=GCF_005931095&id=EQU24_RS09570
EQU24_RS15150,0.0502379393926821,,hypothetical protein,-,916,https://biocyc.org/gene?orgid=GCF_005931095&id=EQU24_RS15150
EQU24_RS09170,0.0494403755600528,,DUF3300 domain-containing protein,M,1670,https://biocyc.org/gene?orgid=GCF_005931095&id=EQU24_RS09170
EQU24_RS05220,0.0487464913906955,,,-,2176,https://biocyc.org/gene?orgid=GCF_005931095&id=EQU24_RS05220
EQU24_RS02110,0.0480874015252052,,,-,2539,https://biocyc.org/gene?orgid=GCF_005931095&id=EQU24_RS02110
EQU24_RS18425,0.045894964531082,,transposase,L,502,https://biocyc.org/gene?orgid=GCF_005931095&id=EQU24_RS18425
EQU24_RS07575,0.0454749665603118,,type II toxin-antitoxin system RelE/ParE family toxin,D,1874,https://biocyc.org/gene?orgid=GCF_005931095&id=EQU24_RS07575
EQU24_RS05445,0.0448160426072433,,redoxin domain-containing protein,C,2151,https://biocyc.org/gene?orgid=GCF_005931095&id=EQU24_RS05445
EQU24_RS07375,0.0443890353319929,,,-,1895,https://biocyc.org/gene?orgid=GCF_005931095&id=EQU24_RS07375
EQU24_RS10300,0.044101851305004,,hypothetical protein,-,1525,https://biocyc.org/gene?orgid=GCF_005931095&id=EQU24_RS10300
EQU24_RS20250,0.0438491473940955,,AAA family ATPase,L,259,https://biocyc.org/gene?orgid=GCF_005931095&id=EQU24_RS20250
EQU24_RS01540,0.0432361881091768,,hypothetical protein,-,2618,https://biocyc.org/gene?orgid=GCF_005931095&id=EQU24_RS01540
EQU24_RS20900,0.042681199881332,,hypothetical protein,-,167,https://biocyc.org/gene?orgid=GCF_005931095&id=EQU24_RS20900
EQU24_RS18585,0.042659569513989,,hypothetical protein,L,484,https://biocyc.org/gene?orgid=GCF_005931095&id=EQU24_RS18585
EQU24_RS16245,0.0426517713317013,,hypothetical protein,-,768,https://biocyc.org/gene?orgid=GCF_005931095&id=EQU24_RS16245
EQU24_RS18110,0.0424384217903057,,MxaS protein,S,545,https://biocyc.org/gene?orgid=GCF_005931095&id=EQU24_RS18110
EQU24_RS19605,0.042427694272273,,3-hydroxyacyl-CoA dehydrogenase/enoyl-CoA hydratase family protein,I,346,https://biocyc.org/gene?orgid=GCF_005931095&id=EQU24_RS19605
EQU24_RS09685,0.0423236432488934,,,-,1600,https://biocyc.org/gene?orgid=GCF_005931095&id=EQU24_RS09685
EQU24_RS14765,0.0421292567876171,,hypothetical protein,S,965,https://biocyc.org/gene?orgid=GCF_005931095&id=EQU24_RS14765
EQU24_RS14925,0.0419170674956376,urtB,urea ABC transporter permease subunit UrtB,U,948,https://biocyc.org/gene?orgid=GCF_005931095&id=EQU24_RS14925
