locus,gene_weight,gene_name,gene_product,cog,operon,specific_gos_n,link
EQU24_RS18390,0.1721743746265388,,transposase,"Replication, recombination and repair",506,"DNA binding
transposase activity
transposition, DNA-mediated",https://biocyc.org/gene?orgid=GCF_005931095&id=EQU24_RS18390
EQU24_RS01175,0.0757646918273244,umuD,translesion error-prone DNA polymerase V autoproteolytic subunit,Transcription,2668,"regulation of transcription, DNA-templated
DNA repair
DNA binding
SOS response
hydrolase activity",https://biocyc.org/gene?orgid=GCF_005931095&id=EQU24_RS01175
EQU24_RS12805,0.0711788102572049,,IS4 family transposase,"Replication, recombination and repair",1225,"DNA binding
transposase activity
transposition, DNA-mediated
integral component of membrane",https://biocyc.org/gene?orgid=GCF_005931095&id=EQU24_RS12805
EQU24_RS01385,0.0641904488215058,lexA,transcriptional repressor LexA,Transcription,309,"positive regulation of nucleic acid-templated transcription
negative regulation of nucleic acid-templated transcription
positive regulation of transcription, DNA-templated
negative regulation of cellular macromolecule biosynthetic process
negative regulation of transcription, DNA-templated",https://biocyc.org/gene?orgid=GCF_005931095&id=EQU24_RS01385
EQU24_RS14930,0.0641555298630854,,hypothetical protein,No COG annotation,947,integral component of membrane,https://biocyc.org/gene?orgid=GCF_005931095&id=EQU24_RS14930
EQU24_RS14655,0.058305882654996,,hypothetical protein,No COG annotation,982,,https://biocyc.org/gene?orgid=GCF_005931095&id=EQU24_RS14655
EQU24_RS21805,0.0537740000467773,,hypothetical protein,No COG annotation,44,,https://biocyc.org/gene?orgid=GCF_005931095&id=EQU24_RS21805
EQU24_RS20685,0.052659048104741,,AAA family ATPase,"Replication, recombination and repair",202,,https://biocyc.org/gene?orgid=GCF_005931095&id=EQU24_RS20685
EQU24_RS17080,0.0511747993989827,nifT,putative nitrogen fixation protein NifT,"Secondary metabolites biosynthesis, transport, and catabolism",664,nitrogen fixation,https://biocyc.org/gene?orgid=GCF_005931095&id=EQU24_RS17080
EQU24_RS04160,0.0504043061014903,,,No COG annotation,2308,,https://biocyc.org/gene?orgid=GCF_005931095&id=EQU24_RS04160
EQU24_RS07995,0.0491343160056069,,IS3 family transposase,"Replication, recombination and repair",1825,"DNA integration
sequence-specific DNA binding
transposition",https://biocyc.org/gene?orgid=GCF_005931095&id=EQU24_RS07995
EQU24_RS11915,0.0486611715035779,,IS66 family transposase,"Replication, recombination and repair",1329,,https://biocyc.org/gene?orgid=GCF_005931095&id=EQU24_RS11915
EQU24_RS17270,0.0459155378204162,nifL,nitrogen fixation negative regulator NifL,Transcription,643,"peptidyl-histidine phosphorylation
ATP binding
protein histidine kinase activity
nitrogen fixation
signal transduction",https://biocyc.org/gene?orgid=GCF_005931095&id=EQU24_RS17270
EQU24_RS02055,0.0453100709789013,,TonB-dependent receptor,Inorganic ion transport and metabolism,2549,"cell outer membrane
integral component of membrane",https://biocyc.org/gene?orgid=GCF_005931095&id=EQU24_RS02055
EQU24_RS12090,0.0443039075512742,,hypothetical protein,No COG annotation,1313,,https://biocyc.org/gene?orgid=GCF_005931095&id=EQU24_RS12090
EQU24_RS17085,0.0443021271847051,,4Fe-4S dicluster domain-containing protein,Energy production and conversion,664,,https://biocyc.org/gene?orgid=GCF_005931095&id=EQU24_RS17085
