locus,gene_weight,gene_name,gene_product,cog,operon,link
EQU24_RS16195,0.1561717113487902,,hypothetical protein,-,775,https://biocyc.org/gene?orgid=GCF_005931095&id=EQU24_RS16195
EQU24_RS05260,0.1180517945160039,,c-type cytochrome,C,2172,https://biocyc.org/gene?orgid=GCF_005931095&id=EQU24_RS05260
EQU24_RS02975,0.1101409097836451,,hypothetical protein,-,2428,https://biocyc.org/gene?orgid=GCF_005931095&id=EQU24_RS02975
EQU24_RS19970,0.1034011882709371,,transcription antitermination protein NusG,S,298,https://biocyc.org/gene?orgid=GCF_005931095&id=EQU24_RS19970
EQU24_RS19140,0.1000726045259362,,carbonic anhydrase,P,408,https://biocyc.org/gene?orgid=GCF_005931095&id=EQU24_RS19140
EQU24_RS19310,0.0969310414639701,,methane monooxygenase/ammonia monooxygenase subunit A,C,383,https://biocyc.org/gene?orgid=GCF_005931095&id=EQU24_RS19310
EQU24_RS19305,0.0897139773014448,,methane monooxygenase/ammonia monooxygenase subunit B,C,383,https://biocyc.org/gene?orgid=GCF_005931095&id=EQU24_RS19305
EQU24_RS02920,0.0879111597815609,,hypothetical protein,M,2435,https://biocyc.org/gene?orgid=GCF_005931095&id=EQU24_RS02920
EQU24_RS12305,0.0842144289697103,,hypothetical protein,-,1283,https://biocyc.org/gene?orgid=GCF_005931095&id=EQU24_RS12305
EQU24_RS08505,0.0840263151414453,,hypothetical protein,-,1757,https://biocyc.org/gene?orgid=GCF_005931095&id=EQU24_RS08505
EQU24_RS09825,0.0823594587623176,,hypothetical protein,-,1582,https://biocyc.org/gene?orgid=GCF_005931095&id=EQU24_RS09825
EQU24_RS05735,0.0812249042257164,,group 1 truncated hemoglobin,C,2110,https://biocyc.org/gene?orgid=GCF_005931095&id=EQU24_RS05735
EQU24_RS01600,0.0805372125576096,,hypothetical protein,-,2609,https://biocyc.org/gene?orgid=GCF_005931095&id=EQU24_RS01600
EQU24_RS14140,0.0799839440709925,,bacteriohemerythrin,P,1053,https://biocyc.org/gene?orgid=GCF_005931095&id=EQU24_RS14140
EQU24_RS20990,0.0796553845802914,,Rsd/AlgQ family anti-sigma factor,K,153,https://biocyc.org/gene?orgid=GCF_005931095&id=EQU24_RS20990
EQU24_RS07015,0.0795137293451767,,cytochrome-c peroxidase,C,1940,https://biocyc.org/gene?orgid=GCF_005931095&id=EQU24_RS07015
EQU24_RS05750,0.0792282967354569,,cytochrome c,C,2109,https://biocyc.org/gene?orgid=GCF_005931095&id=EQU24_RS05750
EQU24_RS07250,0.0756807844541933,,hypothetical protein,-,1912,https://biocyc.org/gene?orgid=GCF_005931095&id=EQU24_RS07250
EQU24_RS00160,0.0689718503539559,,hypothetical protein,-,2811,https://biocyc.org/gene?orgid=GCF_005931095&id=EQU24_RS00160
EQU24_RS18160,0.0689013060629431,,hypothetical protein,-,538,https://biocyc.org/gene?orgid=GCF_005931095&id=EQU24_RS18160
EQU24_RS09830,0.0678791620347551,,,-,1582,https://biocyc.org/gene?orgid=GCF_005931095&id=EQU24_RS09830
EQU24_RS19315,0.064749330096607,,methane monooxygenase/ammonia monooxygenase subunit C,C,383,https://biocyc.org/gene?orgid=GCF_005931095&id=EQU24_RS19315
EQU24_RS00590,0.0638674112867133,,hypothetical protein,-,2751,https://biocyc.org/gene?orgid=GCF_005931095&id=EQU24_RS00590
EQU24_RS12665,0.0628157595745958,,DUF2892 domain-containing protein,S,1240,https://biocyc.org/gene?orgid=GCF_005931095&id=EQU24_RS12665
EQU24_RS13995,0.062303587676048,,hypothetical protein,-,1072,https://biocyc.org/gene?orgid=GCF_005931095&id=EQU24_RS13995
EQU24_RS19145,0.061915355049756,,SDR family NAD(P)-dependent oxidoreductase,I,408,https://biocyc.org/gene?orgid=GCF_005931095&id=EQU24_RS19145
EQU24_RS17675,0.0608658955878845,,flagellin,N,593,https://biocyc.org/gene?orgid=GCF_005931095&id=EQU24_RS17675
EQU24_RS00990,0.0586952868579135,aqpZ,aquaporin Z,G,2695,https://biocyc.org/gene?orgid=GCF_005931095&id=EQU24_RS00990
EQU24_RS05740,0.0584633776367755,,2Fe-2S iron-sulfur cluster binding domain-containing protein,C,2110,https://biocyc.org/gene?orgid=GCF_005931095&id=EQU24_RS05740
EQU24_RS14900,0.057796181092694,,HupE/UreJ family protein,O,950,https://biocyc.org/gene?orgid=GCF_005931095&id=EQU24_RS14900
EQU24_RS18740,0.0547609844998782,,NAD(P)/FAD-dependent oxidoreductase,S,464,https://biocyc.org/gene?orgid=GCF_005931095&id=EQU24_RS18740
EQU24_RS12545,0.0533243193511003,,hypothetical protein,-,1255,https://biocyc.org/gene?orgid=GCF_005931095&id=EQU24_RS12545
EQU24_RS08735,0.0521612437542657,,hypothetical protein,-,1725,https://biocyc.org/gene?orgid=GCF_005931095&id=EQU24_RS08735
EQU24_RS11345,0.0513039072243097,hxlA,3-hexulose-6-phosphate synthase,G,69,https://biocyc.org/gene?orgid=GCF_005931095&id=EQU24_RS11345
EQU24_RS14890,0.0496288459348119,ureA,urease subunit gamma,E,950,https://biocyc.org/gene?orgid=GCF_005931095&id=EQU24_RS14890
EQU24_RS14895,0.0487278851460922,,urease accessory protein UreD,O,950,https://biocyc.org/gene?orgid=GCF_005931095&id=EQU24_RS14895
EQU24_RS05745,0.0480914913555302,,hypothetical protein,-,2109,https://biocyc.org/gene?orgid=GCF_005931095&id=EQU24_RS05745
EQU24_RS10370,0.0475858438692501,acpP,acyl carrier protein,I,1519,https://biocyc.org/gene?orgid=GCF_005931095&id=EQU24_RS10370
EQU24_RS18735,0.0472235549489674,,DUF2892 domain-containing protein,P,464,https://biocyc.org/gene?orgid=GCF_005931095&id=EQU24_RS18735
EQU24_RS10990,0.0467543935050872,,hypothetical protein,-,1456,https://biocyc.org/gene?orgid=GCF_005931095&id=EQU24_RS10990
EQU24_RS18550,0.046264218163135,,,-,489,https://biocyc.org/gene?orgid=GCF_005931095&id=EQU24_RS18550
EQU24_RS14910,0.0462292376082696,,ABC transporter ATP-binding protein,E,948,https://biocyc.org/gene?orgid=GCF_005931095&id=EQU24_RS14910
EQU24_RS15095,0.0458711144549844,,,-,924,https://biocyc.org/gene?orgid=GCF_005931095&id=EQU24_RS15095
EQU24_RS07165,0.0454313171456787,,ammonium transporter,P,1923,https://biocyc.org/gene?orgid=GCF_005931095&id=EQU24_RS07165
EQU24_RS10965,0.0449322284986561,,phage tail protein,S,1458,https://biocyc.org/gene?orgid=GCF_005931095&id=EQU24_RS10965
EQU24_RS16840,0.0448949046627126,flgC,flagellar basal body rod protein FlgC,N,699,https://biocyc.org/gene?orgid=GCF_005931095&id=EQU24_RS16840
EQU24_RS00125,0.0441598977043276,,autotransporter outer membrane beta-barrel domain-containing protein,S,2815,https://biocyc.org/gene?orgid=GCF_005931095&id=EQU24_RS00125
