,name,x,y,cog,color,link,gene_product
meta,start,0.029698931261214298,,,,,
EQU24_RS00005,dnaA,0,0.0211522385723087,"Replication, recombination and repair",#1e90ff,,chromosomal replication initiator protein DnaA
EQU24_RS00010,,1502,0.0121652506568467,"Replication, recombination and repair",#1e90ff,,DNA polymerase III subunit beta
EQU24_RS00015,recF,3060,-0.0059271646373983,"Replication, recombination and repair",#1e90ff,,DNA replication/repair protein RecF
EQU24_RS00020,gyrB,4185,0.0058417150935392,"Replication, recombination and repair",#1e90ff,,DNA topoisomerase (ATP-hydrolyzing) subunit B
EQU24_RS00025,,6825,-0.0045950868002103,No COG annotation,#00bfbf,,hypothetical protein
EQU24_RS00030,,7098,0.005775304016719,Function unknown,#0000ff,,DUF2283 domain-containing protein
EQU24_RS00035,,7350,0.0062375135655299,No COG annotation,#00bfbf,,hypothetical protein
EQU24_RS00040,,7818,-0.0002944682803309,Cell wall/membrane/envelope biogenesis,#c71585,,TolC family protein
EQU24_RS00045,,9071,0.0092455396534232,Cell wall/membrane/envelope biogenesis,#c71585,,efflux RND transporter periplasmic adaptor subunit
EQU24_RS00050,,10240,0.0080819664906677,Inorganic ion transport and metabolism,#8b4513,,efflux RND transporter permease subunit
EQU24_RS00055,,13298,0.0261827992742018,Function unknown,#0000ff,,DUF3240 domain-containing protein
EQU24_RS00060,,13842,-0.0065874590994444,Signal transduction mechanisms,#f4a460,,bifunctional diguanylate cyclase/phosphodiesterase
EQU24_RS00065,,17565,0.0099977064031438,Function unknown,#0000ff,,DUF839 domain-containing protein
EQU24_RS00070,tatA,19263,0.0040814095948442,"Intracellular trafficking, secretion, and vesicular transport",#40e0d0,,twin-arginine translocase TatA/TatE family subunit
EQU24_RS00075,tatB,19487,0.0188161820090951,"Intracellular trafficking, secretion, and vesicular transport",#40e0d0,,twin-arginine translocase subunit TatB
EQU24_RS00080,,20389,0.0094915529432227,"Post-translational modification, protein turnover, and chaperones",#add8e6,,hypothetical protein
EQU24_RS00085,,21633,-0.0059914222923009,Cell wall/membrane/envelope biogenesis,#c71585,,prolipoprotein diacylglyceryl transferase
EQU24_RS00090,thyA,22412,-0.0011543731430819,Nucleotide transport and metabolism,#87ceeb,,thymidylate synthase
EQU24_RS00095,,23251,-0.0055491342190679,No COG annotation,#00bfbf,,hypothetical protein
EQU24_RS00100,,23841,-0.0193586997549615,Function unknown,#0000ff,,YchJ family protein
EQU24_RS00105,crp,24340,-0.0311304352197065,Transcription,#000000,https://biocyc.org/gene?orgid=GCF_005931095&id=EQU24_RS00105,cAMP-activated global transcriptional regulator CRP
EQU24_RS00110,,25137,0.0099476728184453,"Post-translational modification, protein turnover, and chaperones",#add8e6,,OsmC family protein
EQU24_RS00115,speD,25560,0.0025994596012248,Amino acid transport and metabolism,#ff0000,,adenosylmethionine decarboxylase
EQU24_RS00125,,29783,0.0116166461842235,Function unknown,#0000ff,,autotransporter outer membrane beta-barrel domain-containing protein
EQU24_RS00130,,32310,-0.0116390669611663,No COG annotation,#00bfbf,,hypothetical protein
EQU24_RS00135,,32679,0.0075960556305038,Function unknown,#0000ff,,DUF2807 domain-containing protein
EQU24_RS00140,,33495,0.0059666768711672,Cell wall/membrane/envelope biogenesis,#c71585,,OmpA family protein
EQU24_RS00145,,34142,-0.035153206903889,"Translation, ribosomal structure and biogenesis",#daa520,https://biocyc.org/gene?orgid=GCF_005931095&id=EQU24_RS00145,hypothetical protein
EQU24_RS00150,,34455,0.0238964653708587,Cell wall/membrane/envelope biogenesis,#c71585,,DUF4384 domain-containing protein
EQU24_RS00155,,36035,0.0079439279316707,No COG annotation,#00bfbf,,hypothetical protein
EQU24_RS00160,,36419,-0.0103756068686205,No COG annotation,#00bfbf,,hypothetical protein
EQU24_RS00165,,36832,-0.0094081313144564,No COG annotation,#00bfbf,,hypothetical protein
EQU24_RS00170,,38627,-0.0042766483834058,Function unknown,#0000ff,,caspase family protein
EQU24_RS00175,,39992,-0.0023859843780762,"Replication, recombination and repair",#1e90ff,,hypothetical protein
EQU24_RS00180,,40588,-0.0054785662236272,"Replication, recombination and repair",#1e90ff,,ISAzo13 family transposase
EQU24_RS00185,,42145,0.0002716341433303,"Replication, recombination and repair",#1e90ff,,hypothetical protein
EQU24_RS00190,,42656,0.0383143030993124,No COG annotation,#00bfbf,https://biocyc.org/gene?orgid=GCF_005931095&id=EQU24_RS00190,hypothetical protein
EQU24_RS00195,,42874,0.033966920671422,"Replication, recombination and repair",#1e90ff,https://biocyc.org/gene?orgid=GCF_005931095&id=EQU24_RS00195,DUF4338 domain-containing protein
EQU24_RS00200,,44158,-0.0085362424302252,No COG annotation,#00bfbf,,hypothetical protein
EQU24_RS00205,,44526,0.0492018107984786,"Replication, recombination and repair",#1e90ff,https://biocyc.org/gene?orgid=GCF_005931095&id=EQU24_RS00205,IS66 family transposase
EQU24_RS00210,,46105,-0.0054712958762661,No COG annotation,#00bfbf,,DUF3800 domain-containing protein
EQU24_RS00215,,47306,-0.0202568465738446,Cell motility,#da70d6,,type II toxin-antitoxin system HicB family antitoxin
EQU24_RS00220,,47518,-0.0187336181304468,Cell motility,#da70d6,,type II toxin-antitoxin system HicA family toxin
EQU24_RS00225,,48209,0.0181319432709307,Carbohydrate transport and metabolism,#ffc0cb,,HAD family hydrolase
EQU24_RS00230,,48728,-1.7591691008123126e-05,No COG annotation,#00bfbf,,hypothetical protein
EQU24_RS00235,,48952,-0.018412797797489,No COG annotation,#00bfbf,,type II toxin-antitoxin system RelE/ParE family toxin
EQU24_RS00240,,49350,-0.017788167073676,No COG annotation,#00bfbf,,hypothetical protein
EQU24_RS00245,,49501,-0.0117247858218866,Inorganic ion transport and metabolism,#8b4513,,cation transporter
EQU24_RS00250,,50778,-0.0116462106360344,No COG annotation,#00bfbf,,hypothetical protein
EQU24_RS00255,,51191,0.0328579067876347,No COG annotation,#00bfbf,https://biocyc.org/gene?orgid=GCF_005931095&id=EQU24_RS00255,hypothetical protein
EQU24_RS00260,,51603,-0.0087637114851621,No COG annotation,#00bfbf,,hypothetical protein
EQU24_RS00265,,52448,-0.0005027732918789,Cell wall/membrane/envelope biogenesis,#c71585,,glucosidase
EQU24_RS00270,,55437,-0.0033734496840295,Signal transduction mechanisms,#f4a460,,Crp/Fnr family transcriptional regulator
EQU24_RS00275,,57142,-0.0121851754329866,No COG annotation,#00bfbf,,hypothetical protein
EQU24_RS00280,,57870,-0.0188343253923472,Signal transduction mechanisms,#f4a460,,adenylate/guanylate cyclase domain-containing protein
EQU24_RS00285,,60055,0.0019321696079269,Transcription,#000000,,protein kinase
EQU24_RS00290,,61695,-0.0087876669438645,No COG annotation,#00bfbf,,hypothetical protein
EQU24_RS00295,,62264,-0.0379925379785017,No COG annotation,#00bfbf,https://biocyc.org/gene?orgid=GCF_005931095&id=EQU24_RS00295,hypothetical protein
EQU24_RS00300,,62674,0.0042613074795597,Transcription,#000000,,AAA family ATPase
EQU24_RS00305,,67787,-0.0092774495034713,Signal transduction mechanisms,#f4a460,,response regulator
EQU24_RS00310,,68188,-0.0015968025017466,Signal transduction mechanisms,#f4a460,,GGDEF domain-containing response regulator
EQU24_RS00315,,70371,-0.0157623380556834,Function unknown,#0000ff,,CPBP family intramembrane metalloprotease
EQU24_RS00320,,71048,3.104623836005486e-05,Function unknown,#0000ff,,YcgL domain-containing protein
EQU24_RS00330,,71976,-0.0151390933056462,Function unknown,#0000ff,,flippase
EQU24_RS00335,,73303,-0.0132261797802004,No COG annotation,#00bfbf,,hypothetical protein
EQU24_RS00340,,74273,-0.0134090763782603,No COG annotation,#00bfbf,,hypothetical protein
EQU24_RS00345,,75073,-0.0069698919177263,Function unknown,#0000ff,,hypothetical protein
EQU24_RS00350,,76033,-0.0071231767096767,Function unknown,#0000ff,,methyltransferase domain-containing protein
EQU24_RS00355,,76863,-0.0045606147566554,Cell wall/membrane/envelope biogenesis,#c71585,,glycosyltransferase
EQU24_RS00360,,78206,-0.010792847014611,Cell wall/membrane/envelope biogenesis,#c71585,,glycosyltransferase
EQU24_RS00365,,78936,0.0070558011000064,Function unknown,#0000ff,,glycosyltransferase family 2 protein
EQU24_RS00370,,80036,-0.0033533512377154,No COG annotation,#00bfbf,,hypothetical protein
EQU24_RS00375,,80273,-0.0036541259954474,Cell wall/membrane/envelope biogenesis,#c71585,,glycosyltransferase
EQU24_RS00380,,81343,-0.0014272677968309,Cell wall/membrane/envelope biogenesis,#c71585,,SDR family oxidoreductase
EQU24_RS00385,,82311,0.0084093993221,No COG annotation,#00bfbf,,hypothetical protein
EQU24_RS00390,,82907,-0.0094337301472859,Cell wall/membrane/envelope biogenesis,#c71585,,glycosyltransferase family 4 protein
EQU24_RS00395,,83997,-0.0032534606832494,Function unknown,#0000ff,,ATP-binding protein
EQU24_RS00400,,85681,-0.0005789469186153,Carbohydrate transport and metabolism,#ffc0cb,,polysaccharide biosynthesis protein
EQU24_RS00405,,88239,0.0042009373679165,Transcription,#000000,,LysR family transcriptional regulator
EQU24_RS00410,,89041,-0.0057791367191366,Coenzyme transport and metabolism,#d3d3d3,,methyltransferase domain-containing protein
EQU24_RS00415,,89828,0.0114421000016225,Inorganic ion transport and metabolism,#8b4513,,rhodanese-like domain-containing protein
EQU24_RS00420,typA,90322,0.007921078902441,Signal transduction mechanisms,#f4a460,,translational GTPase TypA
EQU24_RS00425,hisB,92433,0.0244723090888247,Amino acid transport and metabolism,#ff0000,,imidazoleglycerol-phosphate dehydratase HisB
EQU24_RS00430,hisH,93040,0.0035998329485111,Amino acid transport and metabolism,#ff0000,,imidazole glycerol phosphate synthase subunit HisH
EQU24_RS00435,hisA,93739,0.0061401394437487,Amino acid transport and metabolism,#ff0000,,1-(5-phosphoribosyl)-5-[(5- phosphoribosylamino)methylideneamino]imidazole-4- carboxamide isomerase
EQU24_RS00440,hisF,94480,0.0037642135084458,Amino acid transport and metabolism,#ff0000,,imidazole glycerol phosphate synthase subunit HisF
EQU24_RS00445,hisI,95253,-0.004031841667831,Amino acid transport and metabolism,#ff0000,,phosphoribosyl-AMP cyclohydrolase
EQU24_RS00450,,95639,-0.0005181072846869,Amino acid transport and metabolism,#ff0000,,phosphoribosyl-ATP diphosphatase
EQU24_RS00455,tatA,96158,-0.0273544261168524,"Intracellular trafficking, secretion, and vesicular transport",#40e0d0,,twin-arginine translocase TatA/TatE family subunit
EQU24_RS00460,tatB,96374,-0.0076148342359641,"Intracellular trafficking, secretion, and vesicular transport",#40e0d0,,twin-arginine translocase subunit TatB
EQU24_RS00465,tatC,96685,-0.0189504770742455,"Intracellular trafficking, secretion, and vesicular transport",#40e0d0,,twin-arginine translocase subunit TatC
EQU24_RS00470,,97499,-0.0115461020991725,Amino acid transport and metabolism,#ff0000,,GDSL family lipase
EQU24_RS00475,,98135,0.0019628530991774,Lipid transport and metabolism,#87cefa,,pteridine reductase
EQU24_RS00480,,98898,-0.000784116566359,Signal transduction mechanisms,#f4a460,,hypothetical protein
EQU24_RS00485,folK,101212,-0.0019099264157611,Coenzyme transport and metabolism,#d3d3d3,,2-amino-4-hydroxy-6- hydroxymethyldihydropteridine diphosphokinase
EQU24_RS00490,folB,101731,-0.0169457261667168,Coenzyme transport and metabolism,#d3d3d3,,dihydroneopterin aldolase
EQU24_RS00495,plsY,102224,-0.0088750978920442,Lipid transport and metabolism,#87cefa,,glycerol-3-phosphate 1-O-acyltransferase PlsY
EQU24_RS00500,tsaD,102961,-0.0025705163783196,"Translation, ribosomal structure and biogenesis",#daa520,,tRNA (adenosine(37)-N6)-threonylcarbamoyltransferase complex transferase subunit TsaD
EQU24_RS00505,rpsU,104077,-0.0038456861711582,"Translation, ribosomal structure and biogenesis",#daa520,,30S ribosomal protein S21
EQU24_RS00510,,104333,-0.0009084661502339,Function unknown,#0000ff,,GatB/YqeY domain-containing protein
EQU24_RS00515,,104824,0.0167250595411129,"Replication, recombination and repair",#1e90ff,,DNA primase
EQU24_RS00520,rpoD,106636,0.0074322810642173,Transcription,#000000,,RNA polymerase sigma factor RpoD
EQU24_RS00525,,108456,0.0152413116826564,No COG annotation,#00bfbf,,
EQU24_RS00530,,108596,0.005603204016182,Coenzyme transport and metabolism,#d3d3d3,,methionine adenosyltransferase
EQU24_RS00535,,109776,0.0057471494922043,Coenzyme transport and metabolism,#d3d3d3,,adenosylhomocysteinase
EQU24_RS00540,metF,111129,0.0009990527582212,Amino acid transport and metabolism,#ff0000,,methylenetetrahydrofolate reductase [NAD(P)H]
EQU24_RS00545,,112072,0.0130352257249622,"Translation, ribosomal structure and biogenesis",#daa520,,16S rRNA (uracil(1498)-N(3))-methyltransferase
EQU24_RS00550,,112812,-0.0078546267013288,Function unknown,#0000ff,,CPBP family intramembrane metalloprotease
EQU24_RS00555,,113932,0.0022003680381606,Function unknown,#0000ff,,YajQ family cyclic di-GMP-binding protein
EQU24_RS00560,,114465,0.0097830455728576,"Translation, ribosomal structure and biogenesis",#daa520,,multifunctional CCA addition/repair protein
EQU24_RS00565,,115829,-0.0024057450293184,Function unknown,#0000ff,,TSUP family transporter
EQU24_RS00570,guaB,116713,0.0159870806099501,Nucleotide transport and metabolism,#87ceeb,,IMP dehydrogenase
EQU24_RS00575,guaA,118260,0.0148745279126669,Nucleotide transport and metabolism,#87ceeb,,glutamine-hydrolyzing GMP synthase
EQU24_RS00580,tadA,119840,0.0012628500308876,Nucleotide transport and metabolism,#87ceeb,,tRNA adenosine(34) deaminase TadA
EQU24_RS00585,,120316,0.0072378370645189,Carbohydrate transport and metabolism,#ffc0cb,,glucose-6-phosphate isomerase
EQU24_RS00590,,122491,-0.0162858316529533,No COG annotation,#00bfbf,,hypothetical protein
EQU24_RS00595,,123576,-0.0331059815065378,Energy production and conversion,#708090,https://biocyc.org/gene?orgid=GCF_005931095&id=EQU24_RS00595,multicopper oxidase
EQU24_RS00600,,124502,0.0125970262961261,Function unknown,#0000ff,,DedA family protein
EQU24_RS00605,,124981,-0.0015852810562954,No COG annotation,#00bfbf,,hypothetical protein
EQU24_RS00610,,125949,-0.0179044950639869,Function unknown,#0000ff,,YceI family protein
EQU24_RS00615,,126908,0.0094996173961049,No COG annotation,#00bfbf,,hypothetical protein
EQU24_RS00620,msbA,127547,-0.0024877270597506,Defense mechanisms,#90ee90,,lipid A export permease/ATP-binding protein MsbA
EQU24_RS00625,,129668,0.0247814236900388,No COG annotation,#00bfbf,,
EQU24_RS00630,,131271,0.0086652844711121,No COG annotation,#00bfbf,,
EQU24_RS00635,,131419,0.0086652844711121,No COG annotation,#00bfbf,,
EQU24_RS00640,,131804,0.009239447740259,No COG annotation,#00bfbf,,
EQU24_RS00645,,134999,-0.01533606635333,No COG annotation,#00bfbf,,
EQU24_RS00650,,135895,0.0011330197476535,"Secondary metabolites biosynthesis, transport, and catabolism",#00ff00,,ABC transporter permease
EQU24_RS00655,,137028,0.0008886582204179,"Secondary metabolites biosynthesis, transport, and catabolism",#00ff00,,ATP-binding cassette domain-containing protein
EQU24_RS00660,,137803,0.0014968620477006,"Secondary metabolites biosynthesis, transport, and catabolism",#00ff00,,MCE family protein
EQU24_RS00665,,138747,0.00526282135264,No COG annotation,#00bfbf,,hypothetical protein
EQU24_RS00670,,139733,-0.0018783723869975,No COG annotation,#00bfbf,,hypothetical protein
EQU24_RS00675,,140348,-0.002946735674885,Energy production and conversion,#708090,,c-type cytochrome
EQU24_RS00680,,142316,0.0183335378594727,Function unknown,#0000ff,,selenium-binding protein
EQU24_RS00685,,143798,0.0131536746562309,Function unknown,#0000ff,,DUF4242 domain-containing protein
EQU24_RS00690,,144127,0.0295484549253745,Transcription,#000000,,TetR family transcriptional regulator
EQU24_RS00695,,144978,0.004522382600042,No COG annotation,#00bfbf,,hypothetical protein
EQU24_RS00700,,145380,-0.0078121050540125,Function unknown,#0000ff,,YggS family pyridoxal phosphate-dependent enzyme
EQU24_RS00705,,146177,-0.020311079869961,Cell motility,#da70d6,,type IV pilus twitching motility protein PilT
EQU24_RS00710,,147225,-0.0071631957916743,Cell motility,#da70d6,,PilT/PilU family type 4a pilus ATPase
EQU24_RS00715,djlA,148364,-0.0066605741330033,"Post-translational modification, protein turnover, and chaperones",#add8e6,,co-chaperone DjlA
EQU24_RS00720,,149248,-0.0019635148770475,Nucleotide transport and metabolism,#87ceeb,,phosphoribosylaminoimidazolesuccinocarboxamide synthase
EQU24_RS00725,,150286,-0.0037655330099203,Amino acid transport and metabolism,#ff0000,,JAB domain-containing protein
EQU24_RS00730,coaBC,151052,-0.0082091084087484,Coenzyme transport and metabolism,#d3d3d3,,bifunctional phosphopantothenoylcysteine decarboxylase/phosphopantothenate--cysteine ligase CoaBC
EQU24_RS00735,,152235,-0.0156782679846423,Nucleotide transport and metabolism,#87ceeb,,dUTP diphosphatase
EQU24_RS00740,,152709,-0.0008666505215579,Carbohydrate transport and metabolism,#ffc0cb,,phosphomannomutase/phosphoglucomutase
EQU24_RS00745,argB,155268,-0.0015969308758639,Nucleotide transport and metabolism,#87ceeb,,acetylglutamate kinase
EQU24_RS00750,,156144,0.0047886745450229,Function unknown,#0000ff,,DUF4124 domain-containing protein
EQU24_RS00760,,157612,-0.003664824322738,Function unknown,#0000ff,,YggT family protein
EQU24_RS00765,,158187,0.0027725139346363,Amino acid transport and metabolism,#ff0000,,pyrroline-5-carboxylate reductase
EQU24_RS00770,,159820,-0.0152898360279213,"Replication, recombination and repair",#1e90ff,,deoxyribodipyrimidine photo-lyase
EQU24_RS00775,,160800,-0.0131873966918862,Function unknown,#0000ff,,SDR family oxidoreductase
EQU24_RS00780,,161810,0.0178926466589099,No COG annotation,#00bfbf,,hypothetical protein
EQU24_RS00785,,162342,-0.0095514673664226,"Post-translational modification, protein turnover, and chaperones",#add8e6,,disulfide bond formation protein B
EQU24_RS00790,,162952,0.0055091990306811,Function unknown,#0000ff,,class I SAM-dependent methyltransferase
EQU24_RS00795,,164191,0.0018984238007712,"Replication, recombination and repair",#1e90ff,,primosomal protein N'
EQU24_RS00800,,166526,0.017494467934293,"Translation, ribosomal structure and biogenesis",#daa520,,arginine--tRNA ligase
EQU24_RS00805,,168288,0.0269529425379252,"Cell cycle control, cell division, chromosome partitioning",#bfbf00,,hypothetical protein
EQU24_RS00810,,168998,0.0044094088305031,No COG annotation,#00bfbf,,hypothetical protein
EQU24_RS00815,,169174,0.017780141232623,Function unknown,#0000ff,,DUF4276 family protein
EQU24_RS00820,,169446,0.0018658551039639,Function unknown,#0000ff,,DUF4276 family protein
EQU24_RS00825,,169853,0.0084745895966062,Function unknown,#0000ff,,AAA family ATPase
EQU24_RS00830,trpC,171011,0.0119477066959519,Amino acid transport and metabolism,#ff0000,,indole-3-glycerol phosphate synthase TrpC
EQU24_RS00835,trpD,171811,0.010926777216463,Nucleotide transport and metabolism,#87ceeb,,anthranilate phosphoribosyltransferase
EQU24_RS00840,,172934,0.0111252950608897,Amino acid transport and metabolism,#ff0000,,aminodeoxychorismate/anthranilate synthase component II
EQU24_RS00845,,173521,0.0196102449055908,Amino acid transport and metabolism,#ff0000,,anthranilate synthase component I
EQU24_RS00850,,175263,0.0049758995609435,"Secondary metabolites biosynthesis, transport, and catabolism",#00ff00,,fumarylacetoacetate hydrolase family protein
EQU24_RS00855,,176309,-0.0041737953552221,Signal transduction mechanisms,#f4a460,,two-component sensor histidine kinase
EQU24_RS00860,,177763,0.0022151906820692,Transcription,#000000,,response regulator
EQU24_RS00865,hemW,178793,0.0122331371584628,Coenzyme transport and metabolism,#d3d3d3,,radical SAM family heme chaperone HemW
EQU24_RS00870,pyrE,180294,0.0114784481631472,Nucleotide transport and metabolism,#87ceeb,,orotate phosphoribosyltransferase
EQU24_RS00875,,181080,0.0036860616960792,Function unknown,#0000ff,,dynamin family protein
EQU24_RS00880,,183210,-0.0186711687676739,No COG annotation,#00bfbf,,hypothetical protein
EQU24_RS00885,trmB,183439,0.0246713277637552,"Translation, ribosomal structure and biogenesis",#daa520,,tRNA (guanosine(46)-N7)-methyltransferase TrmB
EQU24_RS00890,thiS,184701,0.0292375673296666,Coenzyme transport and metabolism,#d3d3d3,,sulfur carrier protein ThiS
EQU24_RS00895,aroG,185693,0.022297277337049,Amino acid transport and metabolism,#ff0000,,3-deoxy-7-phosphoheptulonate synthase AroG
EQU24_RS00900,,187020,-0.0023010025745056,Defense mechanisms,#90ee90,,ABC transporter ATP-binding protein
EQU24_RS00905,,188856,0.001802447670709,Lipid transport and metabolism,#87cefa,,DUF389 domain-containing protein
EQU24_RS00910,,190994,0.0033103510488066,Function unknown,#0000ff,,DUF3301 domain-containing protein
EQU24_RS00915,,191389,-0.0136354589649759,Function unknown,#0000ff,,YbjQ family protein
EQU24_RS00920,,191700,-0.0154055860823861,Function unknown,#0000ff,,DUF1289 domain-containing protein
EQU24_RS00925,,191951,-0.0209983362869271,No COG annotation,#00bfbf,,hypothetical protein
