,name,x,y,cog,color,link,gene_product
meta,start,0.1136453511736131,,,,,
EQU24_RS00005,dnaA,0,0.0020491067848977,"Replication, recombination and repair",#1e90ff,,chromosomal replication initiator protein DnaA
EQU24_RS00010,,1502,-0.000734151694961,"Replication, recombination and repair",#1e90ff,,DNA polymerase III subunit beta
EQU24_RS00015,recF,3060,-0.0032604971864942,"Replication, recombination and repair",#1e90ff,,DNA replication/repair protein RecF
EQU24_RS00020,gyrB,4185,0.0051218755451261,"Replication, recombination and repair",#1e90ff,,DNA topoisomerase (ATP-hydrolyzing) subunit B
EQU24_RS00025,,6825,-0.0103172407063748,No COG annotation,#00bfbf,,hypothetical protein
EQU24_RS00030,,7098,-0.0065034919000907,Function unknown,#0000ff,,DUF2283 domain-containing protein
EQU24_RS00035,,7350,-0.009932830563285,No COG annotation,#00bfbf,,hypothetical protein
EQU24_RS00040,,7818,0.0057679199437846,Cell wall/membrane/envelope biogenesis,#c71585,,TolC family protein
EQU24_RS00045,,9071,0.0098193985238014,Cell wall/membrane/envelope biogenesis,#c71585,,efflux RND transporter periplasmic adaptor subunit
EQU24_RS00050,,10240,0.0075625912142908,Inorganic ion transport and metabolism,#8b4513,,efflux RND transporter permease subunit
EQU24_RS00055,,13298,0.0049753459310296,Function unknown,#0000ff,,DUF3240 domain-containing protein
EQU24_RS00060,,13842,0.0007472545514328,Signal transduction mechanisms,#f4a460,,bifunctional diguanylate cyclase/phosphodiesterase
EQU24_RS00065,,17565,0.0069658732284379,Function unknown,#0000ff,,DUF839 domain-containing protein
EQU24_RS00070,tatA,19263,0.0148213093582327,"Intracellular trafficking, secretion, and vesicular transport",#40e0d0,,twin-arginine translocase TatA/TatE family subunit
EQU24_RS00075,tatB,19487,0.0076031683246274,"Intracellular trafficking, secretion, and vesicular transport",#40e0d0,,twin-arginine translocase subunit TatB
EQU24_RS00080,,20389,-0.0001211349811234,"Post-translational modification, protein turnover, and chaperones",#add8e6,,hypothetical protein
EQU24_RS00085,,21633,0.0066964036772657,Cell wall/membrane/envelope biogenesis,#c71585,,prolipoprotein diacylglyceryl transferase
EQU24_RS00090,thyA,22412,0.0027356915324704,Nucleotide transport and metabolism,#87ceeb,,thymidylate synthase
EQU24_RS00095,,23251,0.000707353436405,No COG annotation,#00bfbf,,hypothetical protein
EQU24_RS00100,,23841,-0.0040613802893756,Function unknown,#0000ff,,YchJ family protein
EQU24_RS00105,crp,24340,-0.003605235172094,Transcription,#000000,,cAMP-activated global transcriptional regulator CRP
EQU24_RS00110,,25137,-9.14576246873498e-05,"Post-translational modification, protein turnover, and chaperones",#add8e6,,OsmC family protein
EQU24_RS00115,speD,25560,-0.0021817878389547,Amino acid transport and metabolism,#ff0000,,adenosylmethionine decarboxylase
EQU24_RS00125,,29783,-0.0004362528590691,Function unknown,#0000ff,,autotransporter outer membrane beta-barrel domain-containing protein
EQU24_RS00130,,32310,0.0023275379428701,No COG annotation,#00bfbf,,hypothetical protein
EQU24_RS00135,,32679,0.0011878673626733,Function unknown,#0000ff,,DUF2807 domain-containing protein
EQU24_RS00140,,33495,0.0017510114468864,Cell wall/membrane/envelope biogenesis,#c71585,,OmpA family protein
EQU24_RS00145,,34142,-0.0056119448222817,"Translation, ribosomal structure and biogenesis",#daa520,,hypothetical protein
EQU24_RS00150,,34455,0.0019900499123569,Cell wall/membrane/envelope biogenesis,#c71585,,DUF4384 domain-containing protein
EQU24_RS00155,,36035,-0.0226258081263389,No COG annotation,#00bfbf,,hypothetical protein
EQU24_RS00160,,36419,-0.0110250136985015,No COG annotation,#00bfbf,,hypothetical protein
EQU24_RS00165,,36832,-0.0262854877593118,No COG annotation,#00bfbf,,hypothetical protein
EQU24_RS00170,,38627,0.0023734209837074,Function unknown,#0000ff,,caspase family protein
