locus,gene_weight,gene_name,gene_product,cog,operon,specific_gos_n,link
EQU24_RS09010,0.1554419983866717,,formate/nitrite transporter family protein,Inorganic ion transport and metabolism,1690,"integral component of membrane
transmembrane transporter activity
transmembrane transport",https://biocyc.org/gene?orgid=GCF_005931095&id=EQU24_RS09010
EQU24_RS12625,0.143883473979378,,ABC transporter permease,Inorganic ion transport and metabolism,1245,"plasma membrane
integral component of membrane
transmembrane transport",https://biocyc.org/gene?orgid=GCF_005931095&id=EQU24_RS12625
EQU24_RS12620,0.1368611377291377,,ABC transporter substrate-binding protein,Inorganic ion transport and metabolism,1246,,https://biocyc.org/gene?orgid=GCF_005931095&id=EQU24_RS12620
EQU24_RS02555,0.1338458657062288,,hypothetical protein,Cell motility,2479,,https://biocyc.org/gene?orgid=GCF_005931095&id=EQU24_RS02555
EQU24_RS07180,0.1328736191736856,glnK,P-II family nitrogen regulator,Transcription,1921,"regulation of catalytic activity
regulation of nitrogen utilization
enzyme regulator activity",https://biocyc.org/gene?orgid=GCF_005931095&id=EQU24_RS07180
EQU24_RS12630,0.1311013804983084,,ATP-binding cassette domain-containing protein,Inorganic ion transport and metabolism,1245,"ATP hydrolysis activity
nitrate transmembrane transport
nitrate transmembrane transporter activity
ATP binding
membrane",https://biocyc.org/gene?orgid=GCF_005931095&id=EQU24_RS12630
EQU24_RS07175,0.1277250169231316,,ammonium transporter,Inorganic ion transport and metabolism,1921,"ammonium transmembrane transporter activity
ammonium transmembrane transport
integral component of membrane",https://biocyc.org/gene?orgid=GCF_005931095&id=EQU24_RS07175
EQU24_RS12635,0.1213044049881399,,hypothetical protein,Function unknown,1244,,https://biocyc.org/gene?orgid=GCF_005931095&id=EQU24_RS12635
EQU24_RS03640,0.121274276361387,,hypothetical protein,Amino acid transport and metabolism,2350,,https://biocyc.org/gene?orgid=GCF_005931095&id=EQU24_RS03640
EQU24_RS08975,0.1205296151052171,,MFS transporter,Inorganic ion transport and metabolism,1694,"inorganic anion transport
nitrogen compound transport
inorganic anion transmembrane transporter activity
integral component of membrane
transmembrane transport",https://biocyc.org/gene?orgid=GCF_005931095&id=EQU24_RS08975
EQU24_RS09005,0.1185805510355062,,bifunctional protein-serine/threonine kinase/phosphatase,Transcription,1691,"protein phosphorylation
ATP binding
protein serine/threonine kinase activity
integral component of membrane",https://biocyc.org/gene?orgid=GCF_005931095&id=EQU24_RS09005
EQU24_RS12640,0.1143964146951338,,NAD(P)/FAD-dependent oxidoreductase,Energy production and conversion,1243,"flavin adenine dinucleotide binding
oxidoreductase activity
",https://biocyc.org/gene?orgid=GCF_005931095&id=EQU24_RS12640
EQU24_RS08410,0.1051451883066639,,response regulator,Signal transduction mechanisms,1769,"phosphorelay signal transduction system
integral component of membrane
signal transduction
phosphorelay sensor kinase activity",https://biocyc.org/gene?orgid=GCF_005931095&id=EQU24_RS08410
EQU24_RS07190,0.10460816523948,,nitrogen regulation protein NR(II),Signal transduction mechanisms,1919,"protein autophosphorylation
peptidyl-histidine phosphorylation
peptidyl-histidine modification
regulation of transcription, DNA-templated
peptidyl-amino acid modification",https://biocyc.org/gene?orgid=GCF_005931095&id=EQU24_RS07190
EQU24_RS08970,0.1042933983052603,,ANTAR domain-containing protein,Transcription,1694,"RNA binding
phosphorelay signal transduction system",https://biocyc.org/gene?orgid=GCF_005931095&id=EQU24_RS08970
EQU24_RS09000,0.1007545068577381,cynS,cyanase,Inorganic ion transport and metabolism,1691,"DNA binding
cyanate hydratase activity
cyanate metabolic process",https://biocyc.org/gene?orgid=GCF_005931095&id=EQU24_RS09000
EQU24_RS19170,0.098271423211354,,porin,Lipid transport and metabolism,404,,https://biocyc.org/gene?orgid=GCF_005931095&id=EQU24_RS19170
EQU24_RS03425,0.0973721568546801,,transglutaminase family protein,Amino acid transport and metabolism,2381,"external encapsulating structure organization
S-layer
cellular component organization
external encapsulating structure
cell periphery",https://biocyc.org/gene?orgid=GCF_005931095&id=EQU24_RS03425
EQU24_RS07195,0.0959447716773826,ntrC,nitrogen regulation protein NR(I),Signal transduction mechanisms,1919,"positive regulation of nucleic acid-templated transcription
negative regulation of nucleic acid-templated transcription
negative regulation of RNA biosynthetic process
positive regulation of transcription, DNA-templated
negative regulation of cellular macromolecule biosynthetic process",https://biocyc.org/gene?orgid=GCF_005931095&id=EQU24_RS07195
EQU24_RS16230,0.0895222076984422,,alpha-E domain-containing protein,Function unknown,771,,https://biocyc.org/gene?orgid=GCF_005931095&id=EQU24_RS16230
EQU24_RS04700,0.0889592223305016,,glycogen/starch/alpha-glucan family phosphorylase,Carbohydrate transport and metabolism,2239,"glycogen phosphorylase activity
linear malto-oligosaccharide phosphorylase activity
SHG alpha-glucan phosphorylase activity
pyridoxal phosphate binding
carbohydrate metabolic process",https://biocyc.org/gene?orgid=GCF_005931095&id=EQU24_RS04700
EQU24_RS16225,0.0884282874595452,,circularly permuted type 2 ATP-grasp protein,Function unknown,771,,https://biocyc.org/gene?orgid=GCF_005931095&id=EQU24_RS16225
EQU24_RS14915,0.0878796613493011,urtD,urea ABC transporter ATP-binding protein UrtD,Function unknown,948,"ATP hydrolysis activity
ATP binding",https://biocyc.org/gene?orgid=GCF_005931095&id=EQU24_RS14915
EQU24_RS08415,0.0873780935607733,,hypothetical protein,No COG annotation,1768,,https://biocyc.org/gene?orgid=GCF_005931095&id=EQU24_RS08415
