locus,gene_weight,gene_name,gene_product,cog,operon,specific_gos_n,link
EQU24_RS18060,0.0893197835964567,rplM,50S ribosomal protein L13,"Translation, ribosomal structure and biogenesis",552,"negative regulation of cellular macromolecule biosynthetic process
negative regulation of translation
regulation of cellular macromolecule biosynthetic process
negative regulation of cellular amide metabolic process
zinc ion binding",https://biocyc.org/gene?orgid=GCF_005931095&id=EQU24_RS18060
EQU24_RS15745,0.0781812829116029,,cold-shock protein,Transcription,828,"DNA binding
helicase activity
cytoplasm",https://biocyc.org/gene?orgid=GCF_005931095&id=EQU24_RS15745
EQU24_RS01175,0.0739376819737409,umuD,translesion error-prone DNA polymerase V autoproteolytic subunit,Transcription,2668,"regulation of transcription, DNA-templated
DNA repair
DNA binding
SOS response
hydrolase activity",https://biocyc.org/gene?orgid=GCF_005931095&id=EQU24_RS01175
EQU24_RS07970,0.0724190377716799,,hypothetical protein,No COG annotation,1829,"integral component of membrane
membrane",https://biocyc.org/gene?orgid=GCF_005931095&id=EQU24_RS07970
EQU24_RS15125,0.0716596231308802,,,No COG annotation,920,,https://biocyc.org/gene?orgid=GCF_005931095&id=EQU24_RS15125
EQU24_RS00110,0.0671909435207423,,OsmC family protein,"Post-translational modification, protein turnover, and chaperones",2817,,https://biocyc.org/gene?orgid=GCF_005931095&id=EQU24_RS00110
EQU24_RS07375,0.0635329547590119,,,No COG annotation,1895,,https://biocyc.org/gene?orgid=GCF_005931095&id=EQU24_RS07375
EQU24_RS17665,0.0625644699451546,,IS4 family transposase,"Replication, recombination and repair",595,"DNA binding
transposase activity
transposition, DNA-mediated
integral component of membrane",https://biocyc.org/gene?orgid=GCF_005931095&id=EQU24_RS17665
EQU24_RS18065,0.0615688112423218,rpsI,30S ribosomal protein S9,"Translation, ribosomal structure and biogenesis",552,"maturation of SSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)
maturation of SSU-rRNA
rRNA processing
ncRNA processing
rRNA metabolic process",https://biocyc.org/gene?orgid=GCF_005931095&id=EQU24_RS18065
EQU24_RS05485,0.0609294625865162,efp,elongation factor P,"Translation, ribosomal structure and biogenesis",2143,"negative regulation of translational frameshifting
regulation of translational frameshifting
negative regulation of translational elongation
negative regulation of translation
regulation of translational elongation",https://biocyc.org/gene?orgid=GCF_005931095&id=EQU24_RS05485
EQU24_RS00105,0.058910299154308,crp,cAMP-activated global transcriptional regulator CRP,Transcription,2818,"negative regulation of nucleic acid-templated transcription
positive regulation of nucleic acid-templated transcription
negative regulation of transcription, DNA-templated
positive regulation of RNA biosynthetic process
transcription, DNA-templated",https://biocyc.org/gene?orgid=GCF_005931095&id=EQU24_RS00105
EQU24_RS18155,0.0570778796763636,mxaD,SRPBCC family protein,Function unknown,539,,https://biocyc.org/gene?orgid=GCF_005931095&id=EQU24_RS18155
EQU24_RS17505,0.0569070973534684,,hypothetical protein,No COG annotation,613,"integral component of membrane
membrane",https://biocyc.org/gene?orgid=GCF_005931095&id=EQU24_RS17505
EQU24_RS04010,0.0566633988032952,,ferredoxin family protein,Energy production and conversion,2327,"4 iron, 4 sulfur cluster binding
electron transport chain
metal ion binding
3 iron, 4 sulfur cluster binding
electron transfer activity",https://biocyc.org/gene?orgid=GCF_005931095&id=EQU24_RS04010
EQU24_RS13235,0.0540622498351333,,hypothetical protein,No COG annotation,1169,integral component of membrane,https://biocyc.org/gene?orgid=GCF_005931095&id=EQU24_RS13235
EQU24_RS19125,0.0532756949237457,rplU,50S ribosomal protein L21,"Translation, ribosomal structure and biogenesis",411,"cytosolic ribosome
translation
peptide biosynthetic process
cytosolic large ribosomal subunit
ribosome",https://biocyc.org/gene?orgid=GCF_005931095&id=EQU24_RS19125
EQU24_RS06005,0.0528262011590972,coaD,pantetheine-phosphate adenylyltransferase,Coenzyme transport and metabolism,2075,"purine ribonucleotide biosynthetic process
coenzyme A biosynthetic process
ribonucleoside bisphosphate biosynthetic process
nucleotide biosynthetic process
monocarboxylic acid biosynthetic process",https://biocyc.org/gene?orgid=GCF_005931095&id=EQU24_RS06005
EQU24_RS18030,0.0527934016737084,,peptide deformylase,"Translation, ribosomal structure and biogenesis",554,"ferrous iron binding
peptidyl-methionine modification
peptidyl-amino acid modification
N-terminal protein amino acid modification
co-translational protein modification",https://biocyc.org/gene?orgid=GCF_005931095&id=EQU24_RS18030
EQU24_RS04825,0.0522585688228746,,OmpH family outer membrane protein,Cell wall/membrane/envelope biogenesis,2223,"Gram-negative-bacterium-type cell outer membrane assembly
protein insertion into membrane from inner side
protein insertion into membrane
membrane assembly
cell envelope organization",https://biocyc.org/gene?orgid=GCF_005931095&id=EQU24_RS04825
EQU24_RS17825,0.0512414108844465,groS,co-chaperone GroES,"Post-translational modification, protein turnover, and chaperones",582,"ATP binding
metal ion binding
GroEL-GroES complex
'de novo' post-translational protein folding
chaperone cofactor-dependent protein refolding",https://biocyc.org/gene?orgid=GCF_005931095&id=EQU24_RS17825
EQU24_RS04175,0.051150502862958,,UPF0149 family protein,Function unknown,2307,"cytoplasm
intracellular anatomical structure
cytosol
cellular_component
",https://biocyc.org/gene?orgid=GCF_005931095&id=EQU24_RS04175
