locus,gene_weight,gene_name,gene_product,cog,operon,specific_gos_n,link
EQU24_RS16195,0.1561717113487902,,hypothetical protein,No COG annotation,775,integral component of membrane,https://biocyc.org/gene?orgid=GCF_005931095&id=EQU24_RS16195
EQU24_RS05260,0.1180517945160039,,c-type cytochrome,Energy production and conversion,2172,"iron ion binding
plastid
heme binding
electron transport chain
photosynthesis",https://biocyc.org/gene?orgid=GCF_005931095&id=EQU24_RS05260
EQU24_RS02975,0.1101409097836451,,hypothetical protein,No COG annotation,2428,integral component of membrane,https://biocyc.org/gene?orgid=GCF_005931095&id=EQU24_RS02975
EQU24_RS19970,0.1034011882709371,,transcription antitermination protein NusG,Function unknown,298,integral component of membrane,https://biocyc.org/gene?orgid=GCF_005931095&id=EQU24_RS19970
EQU24_RS19140,0.1000726045259362,,carbonic anhydrase,Inorganic ion transport and metabolism,408,"zinc ion binding
carbonate dehydratase activity",https://biocyc.org/gene?orgid=GCF_005931095&id=EQU24_RS19140
EQU24_RS19310,0.0969310414639701,pmoA,methane monooxygenase/ammonia monooxygenase subunit A,Energy production and conversion,383,"methane monooxygenase activity
methane monooxygenase complex
oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen, NAD(P)H as one donor, and incorporation of one atom of oxygen
methane metabolic process
oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen",https://biocyc.org/gene?orgid=GCF_005931095&id=EQU24_RS19310
EQU24_RS19305,0.0897139773014448,pmoB,methane monooxygenase/ammonia monooxygenase subunit B,Energy production and conversion,383,"methane monooxygenase activity
integral component of membrane
",https://biocyc.org/gene?orgid=GCF_005931095&id=EQU24_RS19305
EQU24_RS02920,0.0879111597815609,,hypothetical protein,Cell wall/membrane/envelope biogenesis,2435,,https://biocyc.org/gene?orgid=GCF_005931095&id=EQU24_RS02920
EQU24_RS12305,0.0842144289697103,,hypothetical protein,No COG annotation,1283,metal ion binding,https://biocyc.org/gene?orgid=GCF_005931095&id=EQU24_RS12305
EQU24_RS08505,0.0840263151414453,,hypothetical protein,No COG annotation,1757,integral component of membrane,https://biocyc.org/gene?orgid=GCF_005931095&id=EQU24_RS08505
EQU24_RS09825,0.0823594587623176,,hypothetical protein,No COG annotation,1582,integral component of membrane,https://biocyc.org/gene?orgid=GCF_005931095&id=EQU24_RS09825
EQU24_RS05735,0.0812249042257164,,group 1 truncated hemoglobin,Energy production and conversion,2110,"evasion of host immune response
evasion of host immune response
symbiont defense to host-produced nitric oxide
mitigation of host defenses by symbiont
nitric oxide dioxygenase activity",https://biocyc.org/gene?orgid=GCF_005931095&id=EQU24_RS05735
EQU24_RS01600,0.0805372125576096,,hypothetical protein,No COG annotation,2609,,https://biocyc.org/gene?orgid=GCF_005931095&id=EQU24_RS01600
EQU24_RS14140,0.0799839440709925,,bacteriohemerythrin,Inorganic ion transport and metabolism,1053,metal ion binding,https://biocyc.org/gene?orgid=GCF_005931095&id=EQU24_RS14140
EQU24_RS20990,0.0796553845802914,,Rsd/AlgQ family anti-sigma factor,Transcription,153,"regulation of nucleic acid-templated transcription
regulation of RNA biosynthetic process
regulation of transcription, DNA-templated
regulation of macromolecule biosynthetic process
regulation of RNA metabolic process",https://biocyc.org/gene?orgid=GCF_005931095&id=EQU24_RS20990
EQU24_RS07015,0.0795137293451767,,cytochrome-c peroxidase,Energy production and conversion,1940,"heme binding
electron transport chain
metal ion binding
cytochrome-c peroxidase activity
cellular oxidant detoxification",https://biocyc.org/gene?orgid=GCF_005931095&id=EQU24_RS07015
EQU24_RS05750,0.0792282967354569,,cytochrome c,Energy production and conversion,2109,"heme binding
electron transport chain
metal ion binding
plasma membrane
integral component of membrane",https://biocyc.org/gene?orgid=GCF_005931095&id=EQU24_RS05750
EQU24_RS07250,0.0756807844541933,,hypothetical protein,No COG annotation,1912,,https://biocyc.org/gene?orgid=GCF_005931095&id=EQU24_RS07250
EQU24_RS00160,0.0689718503539559,,hypothetical protein,No COG annotation,2811,membrane,https://biocyc.org/gene?orgid=GCF_005931095&id=EQU24_RS00160
EQU24_RS18160,0.0689013060629431,,hypothetical protein,No COG annotation,538,,https://biocyc.org/gene?orgid=GCF_005931095&id=EQU24_RS18160
EQU24_RS09830,0.0678791620347551,,,No COG annotation,1582,,https://biocyc.org/gene?orgid=GCF_005931095&id=EQU24_RS09830
EQU24_RS19315,0.064749330096607,pmoC,methane monooxygenase/ammonia monooxygenase subunit C,Energy production and conversion,383,"methane monooxygenase activity
integral component of membrane
",https://biocyc.org/gene?orgid=GCF_005931095&id=EQU24_RS19315
EQU24_RS00590,0.0638674112867133,,hypothetical protein,No COG annotation,2751,integral component of membrane,https://biocyc.org/gene?orgid=GCF_005931095&id=EQU24_RS00590
EQU24_RS12665,0.0628157595745958,,DUF2892 domain-containing protein,Function unknown,1240,integral component of membrane,https://biocyc.org/gene?orgid=GCF_005931095&id=EQU24_RS12665
EQU24_RS13995,0.062303587676048,,hypothetical protein,No COG annotation,1072,,https://biocyc.org/gene?orgid=GCF_005931095&id=EQU24_RS13995
EQU24_RS19145,0.061915355049756,,SDR family NAD(P)-dependent oxidoreductase,Lipid transport and metabolism,408,,https://biocyc.org/gene?orgid=GCF_005931095&id=EQU24_RS19145
EQU24_RS17675,0.0608658955878845,,flagellin,Cell motility,593,"bacterial-type flagellum-dependent cell motility
bacterial-type flagellum filament
extracellular region
structural molecule activity",https://biocyc.org/gene?orgid=GCF_005931095&id=EQU24_RS17675
EQU24_RS00990,0.0586952868579135,aqpZ,aquaporin Z,Carbohydrate transport and metabolism,2695,"water homeostasis
water transport
regulation of cell size
water channel activity
channel activity",https://biocyc.org/gene?orgid=GCF_005931095&id=EQU24_RS00990
EQU24_RS05740,0.0584633776367755,,2Fe-2S iron-sulfur cluster binding domain-containing protein,Energy production and conversion,2110,"metal ion binding
2 iron, 2 sulfur cluster binding
electron transport chain
electron transfer activity",https://biocyc.org/gene?orgid=GCF_005931095&id=EQU24_RS05740
EQU24_RS14900,0.057796181092694,,HupE/UreJ family protein,"Post-translational modification, protein turnover, and chaperones",950,"plasma membrane
integral component of membrane
cell periphery
membrane
cellular_component",https://biocyc.org/gene?orgid=GCF_005931095&id=EQU24_RS14900
EQU24_RS18740,0.0547609844998782,,NAD(P)/FAD-dependent oxidoreductase,Function unknown,464,"aerobic respiration
aerobic electron transport chain
respiratory electron transport chain
NAD(P)H dehydrogenase (quinone) activity
cellular respiration",https://biocyc.org/gene?orgid=GCF_005931095&id=EQU24_RS18740
