locus,gene_weight,gene_name,gene_product,cog,operon,specific_gos_n,link
EQU24_RS10535,0.1991497029652505,,STAS domain-containing protein,Signal transduction mechanisms,1500,,https://biocyc.org/gene?orgid=GCF_005931095&id=EQU24_RS10535
EQU24_RS10665,0.1934709278676933,,chemotaxis protein,Cell motility,1490,"signal transduction
membrane",https://biocyc.org/gene?orgid=GCF_005931095&id=EQU24_RS10665
EQU24_RS10530,0.1931755022016084,,chemotaxis protein CheA,Cell motility,1500,"peptidyl-histidine phosphorylation
ATP binding
phosphorelay signal transduction system
chemotaxis
phosphorelay sensor kinase activity",https://biocyc.org/gene?orgid=GCF_005931095&id=EQU24_RS10530
EQU24_RS10660,0.177823780480095,,chemotaxis protein CheW,Cell motility,1490,"chemotaxis
signal transduction",https://biocyc.org/gene?orgid=GCF_005931095&id=EQU24_RS10660
EQU24_RS10540,0.1760728661830708,,response regulator,Signal transduction mechanisms,1500,"DNA binding
phosphorelay signal transduction system",https://biocyc.org/gene?orgid=GCF_005931095&id=EQU24_RS10540
EQU24_RS10545,0.1734084834646043,,hypothetical protein,Cell motility,1500,"transmembrane signaling receptor activity
chemotaxis
integral component of membrane
signal transduction",https://biocyc.org/gene?orgid=GCF_005931095&id=EQU24_RS10545
EQU24_RS10655,0.1602565872817886,cheB,chemotaxis-specific protein-glutamate methyltransferase CheB,Cell motility,1491,"protein deamination
protein-glutamine glutaminase activity
methyltransferase activity
carboxylic ester hydrolase activity
protein-glutamate methylesterase activity",https://biocyc.org/gene?orgid=GCF_005931095&id=EQU24_RS10655
EQU24_RS10520,0.1573705790781391,,chemotaxis protein CheW,Cell motility,1501,"chemotaxis
signal transduction",https://biocyc.org/gene?orgid=GCF_005931095&id=EQU24_RS10520
EQU24_RS10550,0.1391878550772565,,PAS domain S-box protein,No COG annotation,1499,"phosphorelay signal transduction system
protein binding",https://biocyc.org/gene?orgid=GCF_005931095&id=EQU24_RS10550
EQU24_RS10525,0.1390854318471055,,methyl-accepting chemotaxis protein,Signal transduction mechanisms,1501,"transmembrane signaling receptor activity
chemotaxis
integral component of membrane
signal transduction",https://biocyc.org/gene?orgid=GCF_005931095&id=EQU24_RS10525
