locus,gene_weight,gene_name,gene_product,cog,operon,specific_gos_n,link
EQU24_RS14350,0.1082679487327626,,LapA family protein,No COG annotation,1026,integral component of plasma membrane,https://biocyc.org/gene?orgid=GCF_005931095&id=EQU24_RS14350
EQU24_RS13015,0.1033706199167531,,hypothetical protein,No COG annotation,1201,,https://biocyc.org/gene?orgid=GCF_005931095&id=EQU24_RS13015
EQU24_RS01540,0.0882117165547927,,hypothetical protein,No COG annotation,2618,,https://biocyc.org/gene?orgid=GCF_005931095&id=EQU24_RS01540
EQU24_RS05090,0.0825083284373734,,hypothetical protein,No COG annotation,2189,hydrolase activity,https://biocyc.org/gene?orgid=GCF_005931095&id=EQU24_RS05090
EQU24_RS13865,0.0791223641303804,,hypothetical protein,No COG annotation,1093,integral component of membrane,https://biocyc.org/gene?orgid=GCF_005931095&id=EQU24_RS13865
EQU24_RS17180,0.0766329026155213,,hypothetical protein,Inorganic ion transport and metabolism,654,"integral component of membrane
transmembrane transporter activity
transmembrane transport",https://biocyc.org/gene?orgid=GCF_005931095&id=EQU24_RS17180
EQU24_RS15940,0.0732867521653341,fliQ,flagellar biosynthesis protein FliQ,Cell motility,809,"bacterial-type flagellum assembly
protein secretion
plasma membrane
integral component of membrane
bacterial-type flagellum basal body",https://biocyc.org/gene?orgid=GCF_005931095&id=EQU24_RS15940
EQU24_RS00780,0.0701166917424305,,hypothetical protein,No COG annotation,2724,"integral component of membrane
membrane",https://biocyc.org/gene?orgid=GCF_005931095&id=EQU24_RS00780
EQU24_RS17475,0.0686394556742373,,hypothetical protein,No COG annotation,619,integral component of membrane,https://biocyc.org/gene?orgid=GCF_005931095&id=EQU24_RS17475
EQU24_RS09155,0.0670264279153158,,hypothetical protein,No COG annotation,1672,,https://biocyc.org/gene?orgid=GCF_005931095&id=EQU24_RS09155
EQU24_RS05580,0.0637358438497827,,hypothetical protein,No COG annotation,2132,integral component of membrane,https://biocyc.org/gene?orgid=GCF_005931095&id=EQU24_RS05580
EQU24_RS00345,0.0636898880602064,,hypothetical protein,Function unknown,2783,sulfotransferase activity,https://biocyc.org/gene?orgid=GCF_005931095&id=EQU24_RS00345
EQU24_RS13720,0.0630766665524015,,metalloregulator ArsR/SmtB family transcription factor,Transcription,1110,"transcription, DNA-templated
regulation of nucleic acid-templated transcription
regulation of cellular macromolecule biosynthetic process
regulation of transcription, DNA-templated
nucleic acid-templated transcription",https://biocyc.org/gene?orgid=GCF_005931095&id=EQU24_RS13720
EQU24_RS19665,0.061635570236941,,hypothetical protein,No COG annotation,334,,https://biocyc.org/gene?orgid=GCF_005931095&id=EQU24_RS19665
EQU24_RS04160,0.0589591763150955,,,No COG annotation,2308,,https://biocyc.org/gene?orgid=GCF_005931095&id=EQU24_RS04160
EQU24_RS16505,0.0577525227464579,,hypothetical protein,No COG annotation,735,,https://biocyc.org/gene?orgid=GCF_005931095&id=EQU24_RS16505
EQU24_RS21645,0.0544901213178796,,hypothetical protein,No COG annotation,65,integral component of membrane,https://biocyc.org/gene?orgid=GCF_005931095&id=EQU24_RS21645
EQU24_RS09965,0.0529186784446533,,hypothetical protein,No COG annotation,1568,,https://biocyc.org/gene?orgid=GCF_005931095&id=EQU24_RS09965
EQU24_RS17030,0.0517483911294219,,alkaline phytoceramidase,Function unknown,673,"ceramide metabolic process
hydrolase activity, acting on carbon-nitrogen (but not peptide) bonds, in linear amides
integral component of membrane",https://biocyc.org/gene?orgid=GCF_005931095&id=EQU24_RS17030
EQU24_RS06145,0.0508323328736841,,hypothetical protein,No COG annotation,2059,,https://biocyc.org/gene?orgid=GCF_005931095&id=EQU24_RS06145
EQU24_RS13705,0.0500622407712018,,hypothetical protein,No COG annotation,1111,integral component of membrane,https://biocyc.org/gene?orgid=GCF_005931095&id=EQU24_RS13705
EQU24_RS19080,0.0489599876915434,,lipoprotein signal peptidase,Cell wall/membrane/envelope biogenesis,416,"aspartic-type endopeptidase activity
proteolysis
plasma membrane
integral component of membrane",https://biocyc.org/gene?orgid=GCF_005931095&id=EQU24_RS19080
EQU24_RS02530,0.0489084083926042,,hypothetical protein,No COG annotation,2482,integral component of membrane,https://biocyc.org/gene?orgid=GCF_005931095&id=EQU24_RS02530
EQU24_RS06065,0.048807023037568,,hypothetical protein,Function unknown,2068,integral component of membrane,https://biocyc.org/gene?orgid=GCF_005931095&id=EQU24_RS06065
EQU24_RS14365,0.048598649160045,,(d)CMP kinase,Nucleotide transport and metabolism,1023,"nucleotide biosynthetic process
cytidylate kinase activity
nucleotide phosphorylation
monocarboxylic acid metabolic process
monocarboxylic acid biosynthetic process",https://biocyc.org/gene?orgid=GCF_005931095&id=EQU24_RS14365
EQU24_RS11040,0.048298722256106,,DUF2905 domain-containing protein,Function unknown,1448,integral component of membrane,https://biocyc.org/gene?orgid=GCF_005931095&id=EQU24_RS11040
EQU24_RS17225,0.0479496164570892,,ferredoxin,Energy production and conversion,649,,https://biocyc.org/gene?orgid=GCF_005931095&id=EQU24_RS17225
EQU24_RS13055,0.0473485627197558,,hypothetical protein,No COG annotation,1193,,https://biocyc.org/gene?orgid=GCF_005931095&id=EQU24_RS13055
EQU24_RS17300,0.0468109551448975,,hypothetical protein,No COG annotation,640,,https://biocyc.org/gene?orgid=GCF_005931095&id=EQU24_RS17300
EQU24_RS15740,0.0460582722408777,,hypothetical protein,No COG annotation,829,,https://biocyc.org/gene?orgid=GCF_005931095&id=EQU24_RS15740
EQU24_RS13710,0.0460117326070807,arsB,ACR3 family arsenite efflux transporter,Inorganic ion transport and metabolism,1111,"antimonite transport
arsenite transport
inorganic anion transport
arsenite transmembrane transporter activity
antiporter activity",https://biocyc.org/gene?orgid=GCF_005931095&id=EQU24_RS13710
EQU24_RS13185,0.045903183733181,,CvpA family protein,Function unknown,1174,"toxin biosynthetic process
integral component of membrane
plasma membrane
secondary metabolite biosynthetic process
cellular biosynthetic process",https://biocyc.org/gene?orgid=GCF_005931095&id=EQU24_RS13185
EQU24_RS10965,0.045762669079778,,phage tail protein,Function unknown,1458,"acyltransferase activity
structural molecule activity",https://biocyc.org/gene?orgid=GCF_005931095&id=EQU24_RS10965
EQU24_RS04605,0.0450921245195247,,hypothetical protein,No COG annotation,2255,"integral component of membrane
membrane",https://biocyc.org/gene?orgid=GCF_005931095&id=EQU24_RS04605
EQU24_RS01930,0.0448504819629331,,type II toxin-antitoxin system Phd/YefM family antitoxin,"Cell cycle control, cell division, chromosome partitioning",2561,,https://biocyc.org/gene?orgid=GCF_005931095&id=EQU24_RS01930
EQU24_RS15945,0.0442939609763183,fliP,flagellar type III secretion system pore protein FliP,Cell motility,809,"bacterial-type flagellum organization
protein secretion
plasma membrane
integral component of membrane
bacterial-type flagellum basal body",https://biocyc.org/gene?orgid=GCF_005931095&id=EQU24_RS15945
