locus,gene_weight,gene_name,gene_product,cog,operon,specific_gos_n,link
EQU24_RS15150,0.160706431077901,,hypothetical protein,No COG annotation,916,integral component of membrane,https://biocyc.org/gene?orgid=GCF_005931095&id=EQU24_RS15150
EQU24_RS15155,0.1340717515967499,,DHA2 family efflux MFS transporter permease subunit,Inorganic ion transport and metabolism,915,"plasma membrane
integral component of membrane
transmembrane transporter activity
transmembrane transport",https://biocyc.org/gene?orgid=GCF_005931095&id=EQU24_RS15155
EQU24_RS20695,0.1182716870265457,,hypothetical protein,No COG annotation,200,,https://biocyc.org/gene?orgid=GCF_005931095&id=EQU24_RS20695
EQU24_RS20575,0.1116588819699646,,hypothetical protein,Carbohydrate transport and metabolism,218,"protein binding
membrane",https://biocyc.org/gene?orgid=GCF_005931095&id=EQU24_RS20575
EQU24_RS20700,0.1015464654520044,,hypothetical protein,No COG annotation,200,,https://biocyc.org/gene?orgid=GCF_005931095&id=EQU24_RS20700
EQU24_RS01670,0.1004769037860344,,DUF2292 domain-containing protein,No COG annotation,2600,,https://biocyc.org/gene?orgid=GCF_005931095&id=EQU24_RS01670
EQU24_RS20705,0.0959471983581067,,hypothetical protein,No COG annotation,199,,https://biocyc.org/gene?orgid=GCF_005931095&id=EQU24_RS20705
EQU24_RS05300,0.0956280727858793,,TonB-dependent receptor,Coenzyme transport and metabolism,2167,"cobalamin transport
organic substance transport
ion transport
vitamin transport
ion channel activity",https://biocyc.org/gene?orgid=GCF_005931095&id=EQU24_RS05300
EQU24_RS20860,0.0923318002716101,,ribonucleotide reductase,Nucleotide transport and metabolism,173,"intein-mediated protein splicing
ribonucleoside-diphosphate reductase activity, thioredoxin disulfide as acceptor
nucleic acid phosphodiester bond hydrolysis
endonuclease activity
ATP binding",https://biocyc.org/gene?orgid=GCF_005931095&id=EQU24_RS20860
EQU24_RS01665,0.0803023078535836,,alginate export family protein,Cell wall/membrane/envelope biogenesis,2601,,https://biocyc.org/gene?orgid=GCF_005931095&id=EQU24_RS01665
EQU24_RS01635,0.080004143955262,,EAL domain-containing protein,Signal transduction mechanisms,2604,"cellular response to DNA damage stimulus
cellular response to stress
response to stress
cellular response to stimulus
cellular process",https://biocyc.org/gene?orgid=GCF_005931095&id=EQU24_RS01635
EQU24_RS05930,0.0749008980443957,mmoR,sigma-54-dependent Fis family transcriptional regulator,Transcription,2082,"regulation of transcription, DNA-templated
ATP binding
sequence-specific DNA binding
transcription factor binding",https://biocyc.org/gene?orgid=GCF_005931095&id=EQU24_RS05930
EQU24_RS02325,0.0743725432924872,,hypothetical protein,No COG annotation,2515,,https://biocyc.org/gene?orgid=GCF_005931095&id=EQU24_RS02325
EQU24_RS01640,0.0692439195536029,,alpha/beta hydrolase,Function unknown,2604,hydrolase activity,https://biocyc.org/gene?orgid=GCF_005931095&id=EQU24_RS01640
EQU24_RS20865,0.0651817921133423,,DUF2442 domain-containing protein,Function unknown,172,,https://biocyc.org/gene?orgid=GCF_005931095&id=EQU24_RS20865
EQU24_RS11515,0.0628431385962749,,NADH-quinone oxidoreductase subunit F,Energy production and conversion,1379,"4 iron, 4 sulfur cluster binding
metal ion binding
FMN binding
NADH dehydrogenase (ubiquinone) activity
",https://biocyc.org/gene?orgid=GCF_005931095&id=EQU24_RS11515
EQU24_RS01660,0.0621260387359671,,sulfate ABC transporter substrate-binding protein,Inorganic ion transport and metabolism,2601,"inorganic anion transport
sulfate transmembrane transport
anion transport
sulfate transport
ion transport",https://biocyc.org/gene?orgid=GCF_005931095&id=EQU24_RS01660
EQU24_RS20555,0.058792362990266,,pyridoxamine 5'-phosphate oxidase,Inorganic ion transport and metabolism,221,,https://biocyc.org/gene?orgid=GCF_005931095&id=EQU24_RS20555
EQU24_RS06685,0.0587815888406489,,hypothetical protein,Function unknown,1981,"positive regulation of TOR signaling
guanyl-nucleotide exchange factor activity
molecular adaptor activity",https://biocyc.org/gene?orgid=GCF_005931095&id=EQU24_RS06685
EQU24_RS05295,0.058302580891848,,hypothetical protein,No COG annotation,2167,integral component of membrane,https://biocyc.org/gene?orgid=GCF_005931095&id=EQU24_RS05295
EQU24_RS21100,0.0570864546300557,,AMP-binding protein,No COG annotation,140,ligase activity,https://biocyc.org/gene?orgid=GCF_005931095&id=EQU24_RS21100
EQU24_RS06225,0.0563139640614616,,hypothetical protein,No COG annotation,2046,"methyltransferase activity
integral component of membrane",https://biocyc.org/gene?orgid=GCF_005931095&id=EQU24_RS06225
EQU24_RS19870,0.0546958457255872,,heavy metal translocating P-type ATPase,Inorganic ion transport and metabolism,313,"ATP binding
cation transmembrane transport
metal ion binding
ATPase-coupled cation transmembrane transporter activity
plasma membrane",https://biocyc.org/gene?orgid=GCF_005931095&id=EQU24_RS19870
EQU24_RS12855,0.0539093122206345,,hypothetical protein,No COG annotation,1220,integral component of membrane,https://biocyc.org/gene?orgid=GCF_005931095&id=EQU24_RS12855
EQU24_RS18070,0.0533461945636605,,hypothetical protein,No COG annotation,551,integral component of membrane,https://biocyc.org/gene?orgid=GCF_005931095&id=EQU24_RS18070
EQU24_RS16810,0.0529138718962681,,flagellar basal body P-ring protein FlgI,Cell motility,700,"bacterial-type flagellum-dependent cell motility
bacterial-type flagellum
outer membrane-bounded periplasmic space
non-membrane-bounded organelle
cell projection",https://biocyc.org/gene?orgid=GCF_005931095&id=EQU24_RS16810
EQU24_RS07240,0.0524622192574841,,DUF2934 domain-containing protein,Lipid transport and metabolism,1914,"iron ion binding
lipid biosynthetic process
integral component of membrane
oxidoreductase activity
",https://biocyc.org/gene?orgid=GCF_005931095&id=EQU24_RS07240
