locus,gene_weight,gene_name,gene_product,cog,operon,specific_gos_n,link
EQU24_RS01175,0.1660014288384682,umuD,translesion error-prone DNA polymerase V autoproteolytic subunit,Transcription,2668,"regulation of transcription, DNA-templated
DNA repair
DNA binding
SOS response
hydrolase activity",https://biocyc.org/gene?orgid=GCF_005931095&id=EQU24_RS01175
EQU24_RS01385,0.1653583073965159,lexA,transcriptional repressor LexA,Transcription,309,"positive regulation of nucleic acid-templated transcription
negative regulation of nucleic acid-templated transcription
positive regulation of transcription, DNA-templated
negative regulation of cellular macromolecule biosynthetic process
negative regulation of transcription, DNA-templated",https://biocyc.org/gene?orgid=GCF_005931095&id=EQU24_RS01385
EQU24_RS19880,0.1566221179255046,,hypothetical protein,No COG annotation,311,,https://biocyc.org/gene?orgid=GCF_005931095&id=EQU24_RS19880
EQU24_RS17465,0.1404717381542929,,hypothetical protein,No COG annotation,621,,https://biocyc.org/gene?orgid=GCF_005931095&id=EQU24_RS17465
EQU24_RS19890,0.1214098166354914,lexA,transcriptional repressor LexA,Transcription,309,"positive regulation of nucleic acid-templated transcription
negative regulation of nucleic acid-templated transcription
positive regulation of transcription, DNA-templated
negative regulation of cellular macromolecule biosynthetic process
negative regulation of transcription, DNA-templated",https://biocyc.org/gene?orgid=GCF_005931095&id=EQU24_RS19890
EQU24_RS17460,0.0901021042132802,,sel1 repeat family protein,No COG annotation,622,"signal transduction
protein binding",https://biocyc.org/gene?orgid=GCF_005931095&id=EQU24_RS17460
EQU24_RS02775,0.0837139590134263,,AAA family ATPase,"Post-translational modification, protein turnover, and chaperones",2451,ATP binding,https://biocyc.org/gene?orgid=GCF_005931095&id=EQU24_RS02775
EQU24_RS01340,0.0819032124351717,,hypothetical protein,Function unknown,2649,hydrolase activity,https://biocyc.org/gene?orgid=GCF_005931095&id=EQU24_RS01340
EQU24_RS14125,0.0814412292634691,ctaD,cytochrome c oxidase subunit I,Energy production and conversion,1055,"electron transport coupled proton transport
energy coupled proton transmembrane transport, against electrochemical gradient
proton transmembrane transport
aerobic respiration
cation transport",https://biocyc.org/gene?orgid=GCF_005931095&id=EQU24_RS14125
EQU24_RS20950,0.0791833284713048,,ISKra4 family transposase,"Replication, recombination and repair",161,,https://biocyc.org/gene?orgid=GCF_005931095&id=EQU24_RS20950
EQU24_RS01390,0.0791539322850842,,hypothetical protein,No COG annotation,2642,,https://biocyc.org/gene?orgid=GCF_005931095&id=EQU24_RS01390
EQU24_RS08005,0.0771663080751544,umuD,translesion error-prone DNA polymerase V autoproteolytic subunit,Transcription,1824,"regulation of transcription, DNA-templated
DNA repair
DNA binding
SOS response
hydrolase activity",https://biocyc.org/gene?orgid=GCF_005931095&id=EQU24_RS08005
EQU24_RS16885,0.0766402881876926,umuD,translesion error-prone DNA polymerase V autoproteolytic subunit,Transcription,308,"regulation of transcription, DNA-templated
DNA repair
DNA binding
SOS response
hydrolase activity",https://biocyc.org/gene?orgid=GCF_005931095&id=EQU24_RS16885
EQU24_RS18955,0.0756021383135775,lexA,transcriptional repressor LexA,Transcription,309,"positive regulation of nucleic acid-templated transcription
negative regulation of nucleic acid-templated transcription
positive regulation of transcription, DNA-templated
negative regulation of cellular macromolecule biosynthetic process
negative regulation of transcription, DNA-templated",https://biocyc.org/gene?orgid=GCF_005931095&id=EQU24_RS18955
EQU24_RS01345,0.0753648877011335,,type II toxin-antitoxin system HipA family toxin,Function unknown,2648,"phosphorylation
kinase activity",https://biocyc.org/gene?orgid=GCF_005931095&id=EQU24_RS01345
EQU24_RS04290,0.0734587815517564,,DNA-binding transcriptional regulator,Transcription,2292,DNA binding,https://biocyc.org/gene?orgid=GCF_005931095&id=EQU24_RS04290
EQU24_RS04285,0.0705766173523677,,type II toxin-antitoxin system RelE/ParE family toxin,Function unknown,2292,,https://biocyc.org/gene?orgid=GCF_005931095&id=EQU24_RS04285
EQU24_RS14130,0.0664649257200568,coxB,cytochrome c oxidase subunit II,Energy production and conversion,1055,"purine ribonucleoside monophosphate metabolic process
purine ribonucleoside triphosphate metabolic process
purine nucleoside triphosphate metabolic process
ATP synthesis coupled electron transport
purine ribonucleotide metabolic process",https://biocyc.org/gene?orgid=GCF_005931095&id=EQU24_RS14130
EQU24_RS01360,0.0664421409558666,,AAA family ATPase,"Post-translational modification, protein turnover, and chaperones",2646,"ATP binding
serine-type endopeptidase activity
proteolysis
protein catabolic process
ATP-dependent peptidase activity",https://biocyc.org/gene?orgid=GCF_005931095&id=EQU24_RS01360
EQU24_RS18435,0.0635949241763586,,helix-turn-helix domain-containing protein,Transcription,500,DNA binding,https://biocyc.org/gene?orgid=GCF_005931095&id=EQU24_RS18435
EQU24_RS01130,0.0609906857210879,,ATP-binding protein,"Intracellular trafficking, secretion, and vesicular transport",2673,"ATP binding
integral component of membrane
cytoplasm
intracellular anatomical structure
cytosol",https://biocyc.org/gene?orgid=GCF_005931095&id=EQU24_RS01130
EQU24_RS21870,0.0592381031077325,,hypothetical protein,No COG annotation,39,,https://biocyc.org/gene?orgid=GCF_005931095&id=EQU24_RS21870
EQU24_RS17470,0.0590724535124642,,NYN domain-containing protein,Function unknown,620,,https://biocyc.org/gene?orgid=GCF_005931095&id=EQU24_RS17470
EQU24_RS01170,0.0584329349567404,,Y-family DNA polymerase,"Replication, recombination and repair",2668,"ATP hydrolysis activity
ATP hydrolysis activity
translesion synthesis
DNA synthesis involved in DNA repair
postreplication repair",https://biocyc.org/gene?orgid=GCF_005931095&id=EQU24_RS01170
EQU24_RS01580,0.0552827602528371,,hypothetical protein,No COG annotation,2612,,https://biocyc.org/gene?orgid=GCF_005931095&id=EQU24_RS01580
