locus,gene_weight,gene_name,gene_product,cog,operon,specific_gos_n,link
EQU24_RS12090,0.1230283619600968,,hypothetical protein,No COG annotation,1313,,https://biocyc.org/gene?orgid=GCF_005931095&id=EQU24_RS12090
EQU24_RS12145,0.1086802757400291,,hypothetical protein,No COG annotation,1306,,https://biocyc.org/gene?orgid=GCF_005931095&id=EQU24_RS12145
EQU24_RS19605,0.1046492500749176,,3-hydroxyacyl-CoA dehydrogenase/enoyl-CoA hydratase family protein,Lipid transport and metabolism,346,"fatty acid beta-oxidation
3-hydroxyacyl-CoA dehydrogenase activity",https://biocyc.org/gene?orgid=GCF_005931095&id=EQU24_RS19605
EQU24_RS19600,0.1038741283406405,,thiolase family protein,Lipid transport and metabolism,346,"acetyl-CoA C-acetyltransferase activity
fatty acid beta-oxidation
monocarboxylic acid metabolic process
mitochondrial intermembrane space
acetyl-CoA C-acyltransferase activity",https://biocyc.org/gene?orgid=GCF_005931095&id=EQU24_RS19600
EQU24_RS10690,0.0988834611357133,,AAA family ATPase,"Post-translational modification, protein turnover, and chaperones",1487,"metalloendopeptidase activity
ATP binding
proteolysis
integral component of membrane
cell division",https://biocyc.org/gene?orgid=GCF_005931095&id=EQU24_RS10690
EQU24_RS19610,0.0986657751127442,,acyl-CoA dehydrogenase,Lipid transport and metabolism,345,"fatty acid beta-oxidation using acyl-CoA dehydrogenase
monocarboxylic acid metabolic process
monocarboxylic acid catabolic process
fatty acid beta-oxidation
carboxylic acid catabolic process",https://biocyc.org/gene?orgid=GCF_005931095&id=EQU24_RS19610
EQU24_RS16295,0.0962179518553955,,hypothetical protein,No COG annotation,760,integral component of membrane,https://biocyc.org/gene?orgid=GCF_005931095&id=EQU24_RS16295
EQU24_RS05445,0.0929330564864951,,redoxin domain-containing protein,Energy production and conversion,2151,"cellular oxidant detoxification
cell redox homeostasis
oxidoreductase activity
isomerase activity
antioxidant activity",https://biocyc.org/gene?orgid=GCF_005931095&id=EQU24_RS05445
EQU24_RS11440,0.0902544467992802,,membrane protein,Function unknown,1392,integral component of membrane,https://biocyc.org/gene?orgid=GCF_005931095&id=EQU24_RS11440
EQU24_RS15460,0.0886602107176405,,outer membrane lipoprotein-sorting protein,Cell wall/membrane/envelope biogenesis,874,,https://biocyc.org/gene?orgid=GCF_005931095&id=EQU24_RS15460
EQU24_RS13625,0.0847542277990013,,isoprenylcysteine carboxylmethyltransferase family protein,"Post-translational modification, protein turnover, and chaperones",1124,"methyltransferase activity
integral component of membrane
methylation",https://biocyc.org/gene?orgid=GCF_005931095&id=EQU24_RS13625
EQU24_RS13620,0.0814275113167803,,hypothetical protein,No COG annotation,1124,integral component of membrane,https://biocyc.org/gene?orgid=GCF_005931095&id=EQU24_RS13620
EQU24_RS09795,0.0808204692377554,nqrM,(Na+)-NQR maturation NqrM,Function unknown,1586,integral component of membrane,https://biocyc.org/gene?orgid=GCF_005931095&id=EQU24_RS09795
EQU24_RS05440,0.0777320062391333,,tetratricopeptide repeat protein,Function unknown,2152,protein binding,https://biocyc.org/gene?orgid=GCF_005931095&id=EQU24_RS05440
