,name,x,y,cog,color,link,gene_product
meta,start,0.03559654240918455,,,,,
EQU24_RS00005,dnaA,0,0.0010399146375683,"Replication, recombination and repair",#1e90ff,,chromosomal replication initiator protein DnaA
EQU24_RS00010,,1502,-0.0036202942937531,"Replication, recombination and repair",#1e90ff,,DNA polymerase III subunit beta
EQU24_RS00015,recF,3060,-0.0079979266754553,"Replication, recombination and repair",#1e90ff,,DNA replication/repair protein RecF
EQU24_RS00020,gyrB,4185,0.0024253349849326,"Replication, recombination and repair",#1e90ff,,DNA topoisomerase (ATP-hydrolyzing) subunit B
EQU24_RS00025,,6825,-0.0085393622684295,No COG annotation,#00bfbf,,hypothetical protein
EQU24_RS00030,,7098,-0.0026518833067182,Function unknown,#0000ff,,DUF2283 domain-containing protein
EQU24_RS00035,,7350,0.0008466286708663,No COG annotation,#00bfbf,,hypothetical protein
EQU24_RS00040,,7818,0.0060540920168227,Cell wall/membrane/envelope biogenesis,#c71585,,TolC family protein
EQU24_RS00045,,9071,-0.0025963477944864,Cell wall/membrane/envelope biogenesis,#c71585,,efflux RND transporter periplasmic adaptor subunit
EQU24_RS00050,,10240,-0.0078001077301653,Inorganic ion transport and metabolism,#8b4513,,efflux RND transporter permease subunit
EQU24_RS00055,,13298,-0.0064181882959729,Function unknown,#0000ff,,DUF3240 domain-containing protein
EQU24_RS00060,,13842,-0.0072622645236225,Signal transduction mechanisms,#f4a460,,bifunctional diguanylate cyclase/phosphodiesterase
EQU24_RS00065,,17565,0.0034462163424457,Function unknown,#0000ff,,DUF839 domain-containing protein
EQU24_RS00070,tatA,19263,0.0028347437819598,"Intracellular trafficking, secretion, and vesicular transport",#40e0d0,,twin-arginine translocase TatA/TatE family subunit
EQU24_RS00075,tatB,19487,0.0151717457213135,"Intracellular trafficking, secretion, and vesicular transport",#40e0d0,,twin-arginine translocase subunit TatB
EQU24_RS00080,,20389,0.0126006456305607,"Post-translational modification, protein turnover, and chaperones",#add8e6,,hypothetical protein
EQU24_RS00085,,21633,-0.005296354885012,Cell wall/membrane/envelope biogenesis,#c71585,,prolipoprotein diacylglyceryl transferase
EQU24_RS00090,thyA,22412,0.0394056922838904,Nucleotide transport and metabolism,#87ceeb,https://biocyc.org/gene?orgid=GCF_005931095&id=EQU24_RS00090,thymidylate synthase
EQU24_RS00095,,23251,0.0654691821548827,No COG annotation,#00bfbf,https://biocyc.org/gene?orgid=GCF_005931095&id=EQU24_RS00095,hypothetical protein
EQU24_RS00100,,23841,-0.0091137347821328,Function unknown,#0000ff,,YchJ family protein
EQU24_RS00105,crp,24340,-0.00746863616814,Transcription,#000000,,cAMP-activated global transcriptional regulator CRP
EQU24_RS00110,,25137,-0.0011293711697555,"Post-translational modification, protein turnover, and chaperones",#add8e6,,OsmC family protein
EQU24_RS00115,speD,25560,-0.0005649900581501,Amino acid transport and metabolism,#ff0000,,adenosylmethionine decarboxylase
EQU24_RS00125,,29783,-0.0134316376579092,Function unknown,#0000ff,,autotransporter outer membrane beta-barrel domain-containing protein
EQU24_RS00130,,32310,0.0130932786650621,No COG annotation,#00bfbf,,hypothetical protein
EQU24_RS00135,,32679,0.0159697184177932,Function unknown,#0000ff,,DUF2807 domain-containing protein
EQU24_RS00140,,33495,0.0173501629056608,Cell wall/membrane/envelope biogenesis,#c71585,,OmpA family protein
EQU24_RS00145,,34142,-0.0277338636279949,"Translation, ribosomal structure and biogenesis",#daa520,,hypothetical protein
EQU24_RS00150,,34455,0.0177388080870484,Cell wall/membrane/envelope biogenesis,#c71585,,DUF4384 domain-containing protein
EQU24_RS00155,,36035,0.016423589417981,No COG annotation,#00bfbf,,hypothetical protein
EQU24_RS00160,,36419,0.0419198007890866,No COG annotation,#00bfbf,https://biocyc.org/gene?orgid=GCF_005931095&id=EQU24_RS00160,hypothetical protein
EQU24_RS00165,,36832,-0.0034554917031749,No COG annotation,#00bfbf,,hypothetical protein
EQU24_RS00170,,38627,-0.0045239338426861,Function unknown,#0000ff,,caspase family protein
EQU24_RS00175,,39992,-0.0145472386863188,"Replication, recombination and repair",#1e90ff,,hypothetical protein
EQU24_RS00180,,40588,-0.0203475007180721,"Replication, recombination and repair",#1e90ff,,ISAzo13 family transposase
EQU24_RS00185,,42145,0.0185262773742573,"Replication, recombination and repair",#1e90ff,,hypothetical protein
EQU24_RS00190,,42656,-0.0345175959471414,No COG annotation,#00bfbf,,hypothetical protein
EQU24_RS00195,,42874,-0.0069298285176067,"Replication, recombination and repair",#1e90ff,,DUF4338 domain-containing protein
EQU24_RS00200,,44158,-0.0104515377421803,No COG annotation,#00bfbf,,hypothetical protein
EQU24_RS00205,,44526,0.0046575601686012,"Replication, recombination and repair",#1e90ff,,IS66 family transposase
EQU24_RS00210,,46105,0.020312584657988,No COG annotation,#00bfbf,,DUF3800 domain-containing protein
EQU24_RS00215,,47306,-0.0042978461568864,Cell motility,#da70d6,,type II toxin-antitoxin system HicB family antitoxin
EQU24_RS00220,,47518,-0.0029907524053476,Cell motility,#da70d6,,type II toxin-antitoxin system HicA family toxin
EQU24_RS00225,,48209,-0.0088093876036275,Carbohydrate transport and metabolism,#ffc0cb,,HAD family hydrolase
EQU24_RS00230,,48728,-0.0067586647740993,No COG annotation,#00bfbf,,hypothetical protein
EQU24_RS00235,,48952,-0.0044519077030283,No COG annotation,#00bfbf,,type II toxin-antitoxin system RelE/ParE family toxin
EQU24_RS00240,,49350,-0.0006063250151916,No COG annotation,#00bfbf,,hypothetical protein
EQU24_RS00245,,49501,-0.002123842539662,Inorganic ion transport and metabolism,#8b4513,,cation transporter
EQU24_RS00250,,50778,-0.0036865864538678,No COG annotation,#00bfbf,,hypothetical protein
EQU24_RS00255,,51191,0.0068020699014493,No COG annotation,#00bfbf,,hypothetical protein
EQU24_RS00260,,51603,0.0029738554899719,No COG annotation,#00bfbf,,hypothetical protein
EQU24_RS00265,,52448,-0.0071281730993479,Cell wall/membrane/envelope biogenesis,#c71585,,glucosidase
EQU24_RS00270,,55437,-0.0136784494283627,Signal transduction mechanisms,#f4a460,,Crp/Fnr family transcriptional regulator
EQU24_RS00275,,57142,-0.0039977761935802,No COG annotation,#00bfbf,,hypothetical protein
EQU24_RS00280,,57870,-0.0059246951103341,Signal transduction mechanisms,#f4a460,,adenylate/guanylate cyclase domain-containing protein
EQU24_RS00285,,60055,-0.0098005123678219,Transcription,#000000,,protein kinase
EQU24_RS00290,,61695,-0.0065991616924868,No COG annotation,#00bfbf,,hypothetical protein
EQU24_RS00295,,62264,0.0096178129371901,No COG annotation,#00bfbf,,hypothetical protein
EQU24_RS00300,,62674,0.0085682159091393,Transcription,#000000,,AAA family ATPase
