locus,gene_weight,gene_name,gene_product,cog,operon,specific_gos_n,link
EQU24_RS14140,0.3447759050734167,,bacteriohemerythrin,Inorganic ion transport and metabolism,1053,metal ion binding,https://biocyc.org/gene?orgid=GCF_005931095&id=EQU24_RS14140
EQU24_RS03040,0.1975125493352419,,hypothetical protein,No COG annotation,2416,,https://biocyc.org/gene?orgid=GCF_005931095&id=EQU24_RS03040
EQU24_RS00305,0.1114268556082914,,response regulator,Signal transduction mechanisms,2787,phosphorelay signal transduction system,https://biocyc.org/gene?orgid=GCF_005931095&id=EQU24_RS00305
EQU24_RS03035,0.1059664423172981,yidD,membrane protein insertion efficiency factor YidD,Function unknown,2417,plasma membrane,https://biocyc.org/gene?orgid=GCF_005931095&id=EQU24_RS03035
EQU24_RS06675,0.0964391803267464,,GTP-binding protein,Function unknown,1982,,https://biocyc.org/gene?orgid=GCF_005931095&id=EQU24_RS06675
EQU24_RS17270,0.0921905177319963,nifL,nitrogen fixation negative regulator NifL,Transcription,643,"peptidyl-histidine phosphorylation
ATP binding
protein histidine kinase activity
nitrogen fixation
signal transduction",https://biocyc.org/gene?orgid=GCF_005931095&id=EQU24_RS17270
EQU24_RS06680,0.0903274850937259,,hypothetical protein,No COG annotation,1982,,https://biocyc.org/gene?orgid=GCF_005931095&id=EQU24_RS06680
EQU24_RS06670,0.0862450910393008,,hypothetical protein,No COG annotation,1982,,https://biocyc.org/gene?orgid=GCF_005931095&id=EQU24_RS06670
EQU24_RS06685,0.0819996293732688,,hypothetical protein,Function unknown,1981,"positive regulation of TOR signaling
guanyl-nucleotide exchange factor activity
molecular adaptor activity",https://biocyc.org/gene?orgid=GCF_005931095&id=EQU24_RS06685
EQU24_RS00310,0.0815989417148763,,GGDEF domain-containing response regulator,Signal transduction mechanisms,2787,"regulation of transcription, DNA-templated
phosphorelay signal transduction system",https://biocyc.org/gene?orgid=GCF_005931095&id=EQU24_RS00310
EQU24_RS17065,0.0781899232545332,nifH,nitrogenase iron protein,Inorganic ion transport and metabolism,667,"nitrogenase activity
carbonyl sulfide nitrogenase activity
ATP binding
4 iron, 4 sulfur cluster binding
nitrogen fixation",https://biocyc.org/gene?orgid=GCF_005931095&id=EQU24_RS17065
EQU24_RS06690,0.0746633827085864,,PAS domain-containing protein,Transcription,1981,protein binding,https://biocyc.org/gene?orgid=GCF_005931095&id=EQU24_RS06690
EQU24_RS06665,0.0729750502897785,,hypothetical protein,Cell motility,1982,,https://biocyc.org/gene?orgid=GCF_005931095&id=EQU24_RS06665
EQU24_RS06295,0.0681122169385835,,HTH domain-containing protein,Transcription,2038,,https://biocyc.org/gene?orgid=GCF_005931095&id=EQU24_RS06295
EQU24_RS06695,0.066500666504309,,phosphate/phosphite/phosphonate ABC transporter substrate-binding protein,Inorganic ion transport and metabolism,1981,,https://biocyc.org/gene?orgid=GCF_005931095&id=EQU24_RS06695
EQU24_RS11875,0.0633413392236646,,FecR family protein,Inorganic ion transport and metabolism,1335,integral component of membrane,https://biocyc.org/gene?orgid=GCF_005931095&id=EQU24_RS11875
EQU24_RS06305,0.0633364230288812,,hypothetical protein,Function unknown,2037,integral component of membrane,https://biocyc.org/gene?orgid=GCF_005931095&id=EQU24_RS06305
EQU24_RS08505,0.0628591040795752,,hypothetical protein,No COG annotation,1757,integral component of membrane,https://biocyc.org/gene?orgid=GCF_005931095&id=EQU24_RS08505
EQU24_RS13150,-0.0580438295862104,sufT,putative Fe-S cluster assembly protein SufT,Function unknown,1179,,https://biocyc.org/gene?orgid=GCF_005931095&id=EQU24_RS13150
EQU24_RS21950,-0.058489566833545,,sigma-70 family RNA polymerase sigma factor,Transcription,26,"regulation of DNA-templated transcription, initiation
DNA binding
sigma factor activity
DNA-binding transcription factor activity",https://biocyc.org/gene?orgid=GCF_005931095&id=EQU24_RS21950
EQU24_RS10255,-0.059289265672453,,cysteine desulfurase,Amino acid transport and metabolism,1528,"cysteine desulfurase activity
cysteine metabolic process
pyridoxal phosphate binding
lyase activity",https://biocyc.org/gene?orgid=GCF_005931095&id=EQU24_RS10255
EQU24_RS04025,-0.0593128520893652,sodB,superoxide dismutase [Fe],Energy production and conversion,2324,"iron ion binding
cellular response to superoxide
cellular response to iron ion
cellular response to oxygen radical
cellular response to reactive oxygen species",https://biocyc.org/gene?orgid=GCF_005931095&id=EQU24_RS04025
EQU24_RS13070,-0.0603042310973253,,EthD family reductase,Function unknown,1190,,https://biocyc.org/gene?orgid=GCF_005931095&id=EQU24_RS13070
