locus,gene_weight,gene_name,gene_product,cog,operon,link
EQU24_RS18430,0.1515163161234222,,IS4 family transposase,L,501,https://biocyc.org/gene?orgid=GCF_005931095&id=EQU24_RS18430
EQU24_RS20950,0.142493608280301,,ISKra4 family transposase,L,161,https://biocyc.org/gene?orgid=GCF_005931095&id=EQU24_RS20950
EQU24_RS17665,0.1273581946823886,,IS4 family transposase,L,595,https://biocyc.org/gene?orgid=GCF_005931095&id=EQU24_RS17665
EQU24_RS08030,0.1183665088149506,,IS4 family transposase,L,1821,https://biocyc.org/gene?orgid=GCF_005931095&id=EQU24_RS08030
EQU24_RS02090,0.11163413445053,,transposase,L,2542,https://biocyc.org/gene?orgid=GCF_005931095&id=EQU24_RS02090
EQU24_RS02085,0.1068667228453002,,S8 family serine peptidase,O,2543,https://biocyc.org/gene?orgid=GCF_005931095&id=EQU24_RS02085
EQU24_RS16415,0.1045382490405668,,hypothetical protein,-,746,https://biocyc.org/gene?orgid=GCF_005931095&id=EQU24_RS16415
EQU24_RS16420,0.1014595256622332,,hypothetical protein,-,745,https://biocyc.org/gene?orgid=GCF_005931095&id=EQU24_RS16420
EQU24_RS16430,0.0850036029005364,,hypothetical protein,-,743,https://biocyc.org/gene?orgid=GCF_005931095&id=EQU24_RS16430
EQU24_RS14315,0.0826048640254526,fae,formaldehyde-activating enzyme,S,1031,https://biocyc.org/gene?orgid=GCF_005931095&id=EQU24_RS14315
EQU24_RS20485,0.0789373863166449,,PEP-CTERM sorting domain-containing protein,-,230,https://biocyc.org/gene?orgid=GCF_005931095&id=EQU24_RS20485
EQU24_RS16030,0.0681635991014217,,hypothetical protein,O,800,https://biocyc.org/gene?orgid=GCF_005931095&id=EQU24_RS16030
EQU24_RS06675,0.0667533298225431,,GTP-binding protein,S,1982,https://biocyc.org/gene?orgid=GCF_005931095&id=EQU24_RS06675
EQU24_RS19890,0.0651497075316799,lexA,transcriptional repressor LexA,K,309,https://biocyc.org/gene?orgid=GCF_005931095&id=EQU24_RS19890
EQU24_RS20175,0.0620296037484945,,hypothetical protein,-,273,https://biocyc.org/gene?orgid=GCF_005931095&id=EQU24_RS20175
EQU24_RS16425,0.0620036723610307,,YkgJ family cysteine cluster protein,S,744,https://biocyc.org/gene?orgid=GCF_005931095&id=EQU24_RS16425
EQU24_RS08555,0.0613780359941435,,hypothetical protein,-,1749,https://biocyc.org/gene?orgid=GCF_005931095&id=EQU24_RS08555
EQU24_RS14930,0.0611895681561825,,hypothetical protein,-,947,https://biocyc.org/gene?orgid=GCF_005931095&id=EQU24_RS14930
EQU24_RS10990,0.0605782863665786,,hypothetical protein,-,1456,https://biocyc.org/gene?orgid=GCF_005931095&id=EQU24_RS10990
EQU24_RS12805,0.0589568321903122,,IS4 family transposase,L,1225,https://biocyc.org/gene?orgid=GCF_005931095&id=EQU24_RS12805
EQU24_RS21645,0.058307519448751,,hypothetical protein,-,65,https://biocyc.org/gene?orgid=GCF_005931095&id=EQU24_RS21645
EQU24_RS20180,0.0577966984078453,,protein containing Six-hairpin glycosidase-like domain,-,272,https://biocyc.org/gene?orgid=GCF_005931095&id=EQU24_RS20180
EQU24_RS13090,0.0574158865563717,,type II toxin-antitoxin system PemK/MazF family toxin,T,1186,https://biocyc.org/gene?orgid=GCF_005931095&id=EQU24_RS13090
EQU24_RS01660,0.0570512762960463,,sulfate ABC transporter substrate-binding protein,P,2601,https://biocyc.org/gene?orgid=GCF_005931095&id=EQU24_RS01660
EQU24_RS00190,0.0566126834702481,,hypothetical protein,-,2805,https://biocyc.org/gene?orgid=GCF_005931095&id=EQU24_RS00190
EQU24_RS20110,0.0546649631529381,,response regulator,T,281,https://biocyc.org/gene?orgid=GCF_005931095&id=EQU24_RS20110
EQU24_RS04605,0.0544982352336459,,hypothetical protein,-,2255,https://biocyc.org/gene?orgid=GCF_005931095&id=EQU24_RS04605
EQU24_RS09835,0.0537582134965115,,,-,1582,https://biocyc.org/gene?orgid=GCF_005931095&id=EQU24_RS09835
