locus,gene_weight,gene_name,gene_product,cog,operon,specific_gos_n,link
EQU24_RS00075,0.1637299101497973,tatB,twin-arginine translocase subunit TatB,"Intracellular trafficking, secretion, and vesicular transport",2822,"peptide transport
amide transport
organic substance transport
nitrogen compound transport
protein transport by the Tat complex",https://biocyc.org/gene?orgid=GCF_005931095&id=EQU24_RS00075
EQU24_RS00190,0.1523178826095088,,hypothetical protein,No COG annotation,2805,"DNA binding
transposase activity
transposition, DNA-mediated",https://biocyc.org/gene?orgid=GCF_005931095&id=EQU24_RS00190
EQU24_RS08205,0.1504945433427097,,hypothetical protein,Transcription,1797,DNA binding,https://biocyc.org/gene?orgid=GCF_005931095&id=EQU24_RS08205
EQU24_RS01120,0.1503784755471886,,hypothetical protein,No COG annotation,2674,,https://biocyc.org/gene?orgid=GCF_005931095&id=EQU24_RS01120
EQU24_RS01165,0.1493036801423772,,hypothetical protein,Energy production and conversion,2669,,https://biocyc.org/gene?orgid=GCF_005931095&id=EQU24_RS01165
EQU24_RS19100,0.1463721848859298,,hypothetical protein,No COG annotation,414,,https://biocyc.org/gene?orgid=GCF_005931095&id=EQU24_RS19100
EQU24_RS07500,0.1453058584389757,,MazF family transcriptional regulator,Signal transduction mechanisms,1882,DNA binding,https://biocyc.org/gene?orgid=GCF_005931095&id=EQU24_RS07500
EQU24_RS19915,0.1447700995087362,,hypothetical protein,No COG annotation,304,"nucleotide binding
integral component of membrane
hydrolase activity
membrane",https://biocyc.org/gene?orgid=GCF_005931095&id=EQU24_RS19915
EQU24_RS08490,0.1404351033373223,,hypothetical protein,No COG annotation,1759,"integral component of membrane
membrane",https://biocyc.org/gene?orgid=GCF_005931095&id=EQU24_RS08490
EQU24_RS05350,0.138790140472746,,DUF29 domain-containing protein,Signal transduction mechanisms,2162,,https://biocyc.org/gene?orgid=GCF_005931095&id=EQU24_RS05350
EQU24_RS02345,0.13805091098698,,hypothetical protein,No COG annotation,2511,,https://biocyc.org/gene?orgid=GCF_005931095&id=EQU24_RS02345
EQU24_RS16060,0.1352792678785513,,hypothetical protein,No COG annotation,794,hydrolase activity,https://biocyc.org/gene?orgid=GCF_005931095&id=EQU24_RS16060
EQU24_RS07125,0.1335025485526812,,hypothetical protein,No COG annotation,1927,,https://biocyc.org/gene?orgid=GCF_005931095&id=EQU24_RS07125
EQU24_RS01825,0.1309736314761721,,hypothetical protein,No COG annotation,2581,,https://biocyc.org/gene?orgid=GCF_005931095&id=EQU24_RS01825
EQU24_RS11890,0.1306684124176194,,hypothetical protein,No COG annotation,1333,,https://biocyc.org/gene?orgid=GCF_005931095&id=EQU24_RS11890
EQU24_RS13975,0.1295893363504938,,,No COG annotation,1076,,https://biocyc.org/gene?orgid=GCF_005931095&id=EQU24_RS13975
EQU24_RS14500,0.1289271018774732,,hypothetical protein,No COG annotation,1010,,https://biocyc.org/gene?orgid=GCF_005931095&id=EQU24_RS14500
EQU24_RS05760,0.1213612601158249,,hypothetical protein,No COG annotation,2108,,https://biocyc.org/gene?orgid=GCF_005931095&id=EQU24_RS05760
EQU24_RS10640,0.1210679727338432,,response regulator,Transcription,1492,phosphorelay signal transduction system,https://biocyc.org/gene?orgid=GCF_005931095&id=EQU24_RS10640
EQU24_RS17225,0.1201358664644399,,ferredoxin,Energy production and conversion,649,,https://biocyc.org/gene?orgid=GCF_005931095&id=EQU24_RS17225
EQU24_RS17255,0.1159705409476642,rsxC,electron transport complex subunit RsxC,Energy production and conversion,644,"4 iron, 4 sulfur cluster binding
electron transport chain
metal ion binding
plasma membrane
electron transfer activity",https://biocyc.org/gene?orgid=GCF_005931095&id=EQU24_RS17255
EQU24_RS18480,0.1150955258700217,,IS66 family transposase,"Replication, recombination and repair",495,,https://biocyc.org/gene?orgid=GCF_005931095&id=EQU24_RS18480
EQU24_RS09095,0.1150905885479009,,hypothetical protein,No COG annotation,1680,"peptidyl-histidine phosphorylation
ATP binding
phosphorelay signal transduction system
integral component of membrane
phosphorelay sensor kinase activity",https://biocyc.org/gene?orgid=GCF_005931095&id=EQU24_RS09095
EQU24_RS05390,0.1142957107506484,,hypothetical protein,No COG annotation,2159,"integral component of membrane
membrane",https://biocyc.org/gene?orgid=GCF_005931095&id=EQU24_RS05390
EQU24_RS14485,0.1140438575857614,,hypothetical protein,No COG annotation,1013,,https://biocyc.org/gene?orgid=GCF_005931095&id=EQU24_RS14485
EQU24_RS19665,0.1139089189088782,,hypothetical protein,No COG annotation,334,,https://biocyc.org/gene?orgid=GCF_005931095&id=EQU24_RS19665
